AGS,mun_name,share_alg2_sgb2,share_bg_single_parent,share_bg_5plus,share_bg_with_children,share_sgb2_with_housing_costs,unemp_count,share_longterm_unemp,unemp_u25_per_1000,unemp_55plus_per_1000,income_tax_per_capita,purchasing_power,trade_tax_per_capita,tax_revenue_total,pop_total,pop_female,pop_male,pop_corrected,share_age_0_3,share_age_3_6,share_age_6_18,share_age_18_25,share_age_25_30,share_age_30_50,share_age_50_65,share_age_65_75,share_age_65plus,share_age_75plus,natural_pop_change,migration_balance,working_age_15_65_count,old_age_dependency,youth_dependency,young_old_ratio,households_total,share_single_households,share_households_with_children,share_hh_income_high,share_hh_income_medium,share_hh_income_low,students_total_per_1000,students_18_25_per_1000,students_fh_per_1000,gp_general_per_1000,gp_primary_per_1000,internists_per_1000,pediatricians_per_1000_children,doctors_total_per_1000,share_bb_1000mbit,share_bb_100mbit,share_bb_50mbit,share_4g,dist_supermarket_m,dist_pharmacy_m,dist_gp_m,dist_public_transport_m,dist_primary_school_m,pop_density_per_km2,employment_density_per_km2,share_alg2_sgb2_year,share_bg_single_parent_year,share_bg_5plus_year,share_bg_with_children_year,share_sgb2_with_housing_costs_year,unemp_count_year,share_longterm_unemp_year,unemp_u25_per_1000_year,unemp_55plus_per_1000_year,income_tax_per_capita_year,purchasing_power_year,trade_tax_per_capita_year,tax_revenue_total_year,pop_total_year,pop_female_year,pop_male_year,pop_corrected_year,share_age_0_3_year,share_age_3_6_year,share_age_6_18_year,share_age_18_25_year,share_age_25_30_year,share_age_30_50_year,share_age_50_65_year,share_age_65_75_year,share_age_65plus_year,share_age_75plus_year,natural_pop_change_year,migration_balance_year,working_age_15_65_count_year,old_age_dependency_year,youth_dependency_year,young_old_ratio_year,households_total_year,share_single_households_year,share_households_with_children_year,share_hh_income_high_year,share_hh_income_medium_year,share_hh_income_low_year,students_total_per_1000_year,students_18_25_per_1000_year,students_fh_per_1000_year,gp_general_per_1000_year,gp_primary_per_1000_year,internists_per_1000_year,pediatricians_per_1000_children_year,doctors_total_per_1000_year,share_bb_1000mbit_year,share_bb_100mbit_year,share_bb_50mbit_year,share_4g_year,dist_supermarket_m_year,dist_pharmacy_m_year,dist_gp_m_year,dist_public_transport_m_year,dist_primary_school_m_year,pop_density_per_km2_year,employment_density_per_km2_year
09275122,"Fürstenzell, M",38.07,53.33,13.33,41.11,35.12,113,17.7,1.51,2.02,614.03,29965.45,477.09,1206.6,8601,4326,4275,8601,2.55,3.14,11.85,6.39,5.03,23.97,23.32,12.61,23.74,11.13,-5.89,19.07,5298,38.54,23.8,64.42,2.41,32.34,35.17,32.79,47.86,19.35,0,0,0,3.53,9.42,3.53,24.25,17.66,46.28,87.17,93.48,99.78,1953.33,2075.44,1804.86,907.98,1292.89,108.38,137.84,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275124,"Bad Griesbach i.Rottal, St",39.62,57.69,3.08,33.08,36.25,211,18.96,2.07,4.8,541.36,28605.69,281.36,995.8,8862,4481,4381,8862,2.26,2.28,9.29,6.39,4.74,23.41,24.35,13.54,27.29,13.74,-7.79,9.25,5425,44.57,18.78,43.06,1.98,46.05,24.09,27.03,48.39,24.58,0,0,0,6.77,11.29,3.39,0,16.93,3.63,80.53,90.16,99.83,1326.14,1878.3,1298.19,730.45,1951.01,126.37,169.49,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275125,Haarbach,52.63,64.71,0,17.65,22.8,36,30.56,1.46,4.21,613.29,28645.71,292.97,1025.19,2479,1238,1241,2479,2.54,2.3,9.44,6.17,4.15,22.11,27.79,13.51,25.49,11.98,-4.39,-4.03,1546,40.88,19.47,39.36,2.28,33.24,37.37,31.04,45.82,23.14,0,0,0,0,0,0,0,11.99,11.79,72.98,85.22,99.91,5261.8,5709.69,5242.05,1273.64,2410.34,51.96,60.57,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275126,"Hauzenberg, St",36.25,43.09,10.57,49.59,38.28,156,19.87,1.2,2.57,616.26,28671.35,403.03,1131.38,12033,6015,6018,12033,2.78,2.97,10.65,7.14,5.45,23.27,24.58,12.32,23.15,10.83,-1.91,1.33,7585,36.73,21.91,53.31,2.32,33,35.75,28.74,50.12,21.14,0,0,0,6.65,9.97,0,18.43,17.45,50.98,86.02,91.11,99.87,1645.51,1872.82,1826.59,1175.55,1449.83,145.34,195.91,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275127,"Hofkirchen, M",42.76,69.81,3.77,26.42,35.81,71,32.39,1.19,5.04,627.12,28631.42,1321.74,2013.69,3554,1749,1805,3554,2.87,2.45,10.97,6.92,5.77,25.18,24.48,13.17,21.36,8.19,-0.56,-2.81,2307,32.9,21.15,55.33,2.3,33.91,36.63,29.33,48.84,21.83,0,0,0,0,0,0,0,0,5.55,93.13,95.21,99.68,949.07,4968.95,2650.93,3731.2,1015.21,108.69,145.23,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275128,"Hutthurm, M",38.48,51.52,6.06,39.39,35.81,98,17.35,1.67,2.69,584.34,27308.59,520.26,1224.24,6335,3152,3183,6335,2.92,3.05,11.62,7.4,5.78,25.49,23.57,11.05,20.17,9.12,-3.99,15,4132,30.93,22.39,53.89,2.3,34.59,34.99,31.8,49.73,18.48,0,0,0,4.79,9.57,0,0,15.95,51.07,91.39,92.64,99.89,1562.33,1756.63,1538.14,818.39,1514.07,170.3,233.44,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275130,Kirchham,41.15,39.53,4.65,32.56,36.19,86,12.79,2.51,5.41,447.54,28770.54,201.38,785.78,2686,1322,1364,2686,2.05,2.49,8.34,7.07,5.81,22,20.66,16.94,31.57,14.63,-4.13,105.36,1541,55.03,19.27,53.61,1.95,45.56,22.93,29.55,44.18,26.27,0,0,0,0,0,0,0,0,7.07,85.77,98.82,100,768.85,3501.45,913.28,416.67,4078.97,145.43,171.2,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275131,"Kößlarn, M",37.33,47.62,4.76,42.86,40.35,39,28.21,2.29,3.65,525.95,27199.36,246.31,859.48,1894,949,945,1894,2.48,2.27,9.66,6.02,4.33,23.18,26.03,14.04,26.03,11.99,0,-4.75,1189,41.46,17.83,51.74,2.16,36.72,31.01,23.6,48.8,27.59,0,0,0,0,15.64,0,0,15.64,20.92,94.24,97.65,100,1117.71,966.94,961.12,5006.69,953.87,74.33,84.18,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275132,Malching,0,40,0,40,40.63,18,27.78,0.85,3.38,551.68,24869.31,155.27,804.66,1252,624,628,1252,2.16,3.43,9.9,7.11,4.47,22.36,27,11.58,23.56,11.98,-6.29,-6.39,791,37.29,20.99,46.09,2.27,32.85,34.85,23.23,50.27,26.5,0,0,0,0,0,0,0,0,15.8,94.98,96.84,97.4,3774.87,1549.65,5092.26,1139.41,3306.4,49.6,54.71,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
09275133,Neuburg a.Inn,35.6,41.67,8.33,58.33,35.45,50,22,0.7,2.39,690.58,31411.26,503.1,1322.46,4443,2192,2251,4443,2.39,2.79,11.28,6.95,4.97,23.09,26.65,12.31,21.88,9.57,0.45,2.25,2860,33.99,21.36,59.26,2.29,32.33,33.78,34.35,50.93,14.72,0,0,0,6.76,6.76,0,0,6.76,8.62,89,95.08,99.78,2737.22,2697.76,1005.44,519.01,2729.62,106.42,142.37,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023,2023,2022,2023,2023,2023
