term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-4.281180256199331,0.2272081207746612,-18.842549472275635,8.99632026511144e-67,-4.727114717072057,-3.835245795326605
vuln,0.2180040036740727,0.09234496510844754,2.3607567929453914,0.01845538727172513,0.036761352269076175,0.3992466550790692
eu_protection,0.37907085617353,0.0920635141245432,4.117492795905274,4.1916004326135346e-5,0.19838060004534644,0.5597611123017135
density,-0.060054555555105554,0.30288725291703056,-0.19827363144779225,0.8428768794601285,-0.6545221448924327,0.5344130337822216
population,0.4591220482124698,0.42078660020954123,1.0911042509049445,0.2755263431702089,-0.36674300039205865,1.2849870968169983
mun_area,-0.7246197941470089,0.3808426948879138,-1.902674789023517,0.057409904039032116,-1.4720881559428958,0.022848567648877993
state_model03,0.32524292296487817,0.34204905899219995,0.9508662994810196,0.34193392077462836,-0.3460863508025263,0.9965721967322827
state_model12,1.3873422385678529,0.3126898484544737,4.43679974078162,1.0290637157317392e-5,0.7736353934273477,2.001049083708358
state_model13,0.029007439648250047,0.5424262985497994,0.053477199991598334,0.9573638614006486,-1.0355961413429846,1.0936110206394847
state_model14,0.1436558878948606,0.2595203284625304,0.553543873599103,0.5800319756973673,-0.3656967592018875,0.6530085349916087
state_model15,0.8952930558736335,0.3240801371341041,2.7625668879026732,0.005854743471864663,0.259230837940035,1.531355273807232
state_model16,-5.002485054894585,0.5724635703364382,-8.738521216214007,1.1832084010396249e-17,-6.12604187468113,-3.87892823510804
state_modelsmall_state,-2.9090548902256055,1.4473995166697728,-2.009849289516733,0.044752646040125854,-5.749821852836571,-0.06828792761463998
