term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-4.244994323694881,0.2651351898121357,-16.010678653040042,8.181944533489472e-51,-4.765367088207655,-3.724621559182107
vuln,0.33233400402953533,0.10919939923815376,3.0433684282891127,0.002409152885685139,0.11801166792260176,0.5466563401364689
eu_protection,0.4484063498179047,0.10614026239392653,4.224658387914095,2.64301332788228e-5,0.24008808845405358,0.6567246111817558
density,0.1544925134366193,0.3489277776189548,0.44276358417452283,0.6580458046312261,-0.5303374119441988,0.8393224388174374
population,0.17281482467845546,0.4848336837262246,0.35644145709983377,0.7215956238073817,-0.7787534847122864,1.1243831340691974
mun_area,-0.42980201529912787,0.43895216026461353,-0.9791545735645322,0.32777332434758,-1.2913200555396545,0.4317160249413987
state_model03,0.45258244535791103,0.3947415587771832,1.1465284951498529,0.2518889030763331,-0.32216479341681303,1.227329684132635
state_model12,0.7578239491606753,0.3632173766125167,2.086419863026345,0.0372286572344862,0.04494826290847853,1.470699635412872
state_model13,-0.006167483464617776,0.6284606825583184,-0.009813634545141907,0.9921722075231131,-1.239628130473339,1.2272931635441036
state_model14,-2.5241167309706336,0.3058615920029956,-8.252480196813702,5.653904157941489e-16,-3.1244219650727265,-1.9238114968685407
state_model15,0.7386098230759405,0.3772151777789848,1.9580596608673617,0.05053935866738162,-0.0017389213367228207,1.4789585674886037
state_model16,-5.672197085943106,0.6642373178870441,-8.539413449377566,5.895612655786761e-17,-6.975875445825647,-4.3685187260605645
state_modelsmall_state,-2.9498459553709475,1.6665587570435085,-1.770022174678079,0.0770704501748554,-6.220750086354801,0.3210581756129067
