eu_protection_class,n,mean_vulnerability,mean_zone1_share,mean_zone1_depth_weighted
<100y,650,-0.24198747084078948,0.008284245079316594,0.02360313927257844
100-149y,175,0.2146878203450025,0.05414067067333597,0.04425842108451545
>=150y,1717,0.06972713307288263,0.029548427366918314,0.12516619806620763
