PC,eigenvalue,variance,cumulative,anchor_cor,retain_kaiser,retain_relevant,sign
PC1,4.1637284520033555,0.23131824733351952,0.23131824733351952,0.5301248086074258,TRUE,TRUE,1
PC2,3.7761125236089406,0.20978402908938537,0.4411022764229049,0.6788469628839631,TRUE,TRUE,1
PC3,1.5575498114103197,0.086530545078351,0.5276328215012559,-0.03369155302000955,TRUE,FALSE,-1
PC4,1.4955390704357485,0.08308550391309706,0.610718325414353,0.3344128129105521,TRUE,TRUE,1
PC5,1.0045187887196152,0.0558065993733119,0.6665249247876649,0.19165589529140065,TRUE,FALSE,1
PC6,0.9091897449421815,0.0505105413856767,0.7170354661733416,0.08905320816957445,FALSE,FALSE,1
PC7,0.8760602102284992,0.04867001167936102,0.7657054778527026,-0.24198292828066686,FALSE,FALSE,-1
PC8,0.8280041413649867,0.046000230075832545,0.8117057079285351,0.030045639765529604,FALSE,FALSE,1
PC9,0.7843764702650246,0.0435764705702791,0.8552821784988143,0.00547632354395774,FALSE,FALSE,1
PC10,0.6072913915687141,0.03373841064270631,0.8890205891415206,-0.01465188673938736,FALSE,FALSE,-1
PC11,0.508827612882307,0.028268200715683697,0.9172887898572043,0.010809328545734331,FALSE,FALSE,1
PC12,0.35842486790879907,0.019912492661599928,0.9372012825188042,-0.1758103492745758,FALSE,FALSE,-1
PC13,0.28279484303329544,0.015710824612960844,0.952912107131765,-0.09108305621157443,FALSE,FALSE,-1
PC14,0.2594403066060682,0.014413350367003775,0.9673254574987687,-0.019528593978206315,FALSE,FALSE,-1
PC15,0.22846957174521348,0.01269275398584518,0.9800182114846139,-0.002562584311205616,FALSE,FALSE,-1
PC16,0.18295215622654587,0.010164008679252538,0.9901822201638664,-0.01821125085740694,FALSE,FALSE,-1
PC17,0.16703268109769526,0.009279593394316395,0.9994618135581828,0.02756822524840221,FALSE,FALSE,1
PC18,0.009687355952707746,5.381864418170964e-4,0.9999999999999999,-5.397894731986666e-5,FALSE,FALSE,-1
