term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-0.7523062305643573,0.15333908358452517,-4.906160992866918,9.287629994729575e-7,-1.0559390004678335,-0.45438441829743925
vuln,0.08733490628706381,0.0707467327236959,1.2344726452337194,0.21702683381491442,-0.051494668696950636,0.2259643008209699
eu_protection,0.10149923975013259,0.070853989279849,1.432512703684832,0.15199714509376896,-0.0379044692839667,0.24006587263737983
density,1.3255901419887153,0.21326290037947054,6.215755950191144,5.10781395577982e-10,0.9301121099498332,1.7721233196984612
population,-1.4394354536255065,0.2862338032629103,-5.028880017722303,4.933529601190097e-7,-2.049801568494876,-0.9164042444664054
mun_area,2.0648794068623304,0.2665089911625386,7.747878965940781,9.344013750903113e-15,1.580558497664272,2.6340142508917106
state_model03,-0.7801079213162853,0.22618755437986834,-3.448942730094429,5.627860493386984e-4,-1.2260902216824172,-0.33869066682523236
state_model09,-16.692775755524256,336.70481581775715,-0.049576884473666955,0.9604595674926782,-284.18512636858446,-263.7248090217812
state_model12,0.23873891213658482,0.23383657737412086,1.0209647901004837,0.30727112076462626,-0.21874694972968567,0.6984423434446622
state_model13,-1.7723621094743296,0.3135684280473111,-5.652233933471504,1.583758394151819e-8,-2.413029599733683,-1.17884257570465
state_model14,1.2942898987197682,0.2045998294133293,6.32595785847438,2.516664977742668e-10,0.8957652933026118,1.6982995186259895
state_model15,1.3298855286232296,0.27281741428819134,4.874635778265979,1.0900938828265366e-6,0.8000133380499594,1.8704311983740551
state_model16,-2.919021255018806,0.3276359053180095,-8.90934481733786,5.133502086480613e-19,-3.5917712025367785,-2.3011501051225256
state_modelsmall_state,15.005041810437184,2792.819087096115,0.00537272245086199,0.9957132083308476,-422.62424489653347,NA
