AGS_final,risk,lisa_I,lisa_p,lisa_class
01002000,0,0.10245161189946368,0.5217313917422486,Not significant
01004000,0.009290321658329775,0.06549973510043439,0.5223060248847671,Not significant
01051011,0,0.10245161189946368,0.5217313917422486,Not significant
01051003,0,0.10245161189946368,0.5217313917422486,Not significant
01051010,0,0.10245161189946368,0.5217313917422486,Not significant
01051012,0,0.10245161189946368,0.5217313917422486,Not significant
01051016,0,0.10245161189946368,0.5217313917422486,Not significant
01051022,0,0.10245161189946368,0.5217313917422486,Not significant
01051024,0,0.10245161189946368,0.5217313917422486,Not significant
01051026,0,0.10245161189946368,0.5217313917422486,Not significant
01051032,0,0.10245161189946368,0.5217313917422486,Not significant
01051037,0,0.10245161189946368,0.5217313917422486,Not significant
01051051,0,0.10245161189946368,0.5217313917422486,Not significant
01051064,0,0.10245161189946368,0.5217313917422486,Not significant
01051089,0,0.10245161189946368,0.5217313917422486,Not significant
01051097,0,0.10245161189946368,0.5217313917422486,Not significant
01051110,0,0.10245161189946368,0.5217313917422486,Not significant
01051021,0,0.10245161189946368,0.5217313917422486,Not significant
01051034,0,0.10245161189946368,0.5217313917422486,Not significant
01051046,0,0.10245161189946368,0.5217313917422486,Not significant
01051057,0,0.10245161189946368,0.5217313917422486,Not significant
01051062,0,0.10245161189946368,0.5217313917422486,Not significant
01051072,0,0.10245161189946368,0.5217313917422486,Not significant
01051073,0,0.10245161189946368,0.5217313917422486,Not significant
01051076,0,0.10245161189946368,0.5217313917422486,Not significant
01051077,0,0.10245161189946368,0.5217313917422486,Not significant
01051090,0,0.10245161189946368,0.5217313917422486,Not significant
01051103,0,0.10245161189946368,0.5217313917422486,Not significant
01051118,0,0.10245161189946368,0.5217313917422486,Not significant
01051119,0,0.10245161189946368,0.5217313917422486,Not significant
01051114,0,0.10245161189946368,0.5217313917422486,Not significant
01051125,0,0.10245161189946368,0.5217313917422486,Not significant
01051139,0,0.10245161189946368,0.5217313917422486,Not significant
01051082,0,0.10245161189946368,0.5217313917422486,Not significant
01051001,0,0.10245161189946368,0.5217313917422486,Not significant
01051002,0,0.10245161189946368,0.5217313917422486,Not significant
01051015,0,0.10245161189946368,0.5217313917422486,Not significant
01051054,0,0.10245161189946368,0.5217313917422486,Not significant
01051063,0,0.10245161189946368,0.5217313917422486,Not significant
01051085,0,0.09910323763876294,0.5354236707667132,Not significant
01051086,0,0.10245161189946368,0.5217313917422486,Not significant
01051099,0,0.10245161189946368,0.5217313917422486,Not significant
01051104,0,0.10245161189946368,0.5217313917422486,Not significant
01051126,0,0.10245161189946368,0.5217313917422486,Not significant
01051138,0,0.10245161189946368,0.5217313917422486,Not significant
01053032,0.06153823284209872,-0.0015302179157593466,0.9947633671777196,Not significant
01053083,0.17433662309920644,0.4968984028662879,0.5880475905793989,Not significant
01053090,0,0.10245161189946368,0.5217313917422486,Not significant
01053116,0,0.10245161189946368,0.5217313917422486,Not significant
01053129,0.01984449412540072,0.008231441362955814,0.8238829758686379,Not significant
01053002,0,0.10245161189946368,0.5217313917422486,Not significant
01053013,0,0.10245161189946368,0.5217313917422486,Not significant
01053014,0,0.10245161189946368,0.5217313917422486,Not significant
01053037,0,0.10245161189946368,0.5217313917422486,Not significant
01053056,0,0.10245161189946368,0.5217313917422486,Not significant
01053095,0,0.10245161189946368,0.5217313917422486,Not significant
01053113,0,0.10245161189946368,0.5217313917422486,Not significant
01053125,0,0.10245161189946368,0.5217313917422486,Not significant
01053134,0,0.10245161189946368,0.5217313917422486,Not significant
01053010,0,0.10245161189946368,0.5217313917422486,Not significant
01053015,0,0.09652694645202745,0.546080605516732,Not significant
01053020,0.005971241733126237,0.07539256070704672,0.5396856615138996,Not significant
01053029,0,0.09652694645202745,0.546080605516732,Not significant
01053035,0,0.10245161189946368,0.5217313917422486,Not significant
01053046,0,0.10245161189946368,0.5217313917422486,Not significant
01053048,0,0.10245161189946368,0.5217313917422486,Not significant
01053064,0,0.10245161189946368,0.5217313917422486,Not significant
01053080,0,0.10245161189946368,0.5217313917422486,Not significant
01053092,0,0.10245161189946368,0.5217313917422486,Not significant
01053104,0,0.10245161189946368,0.5217313917422486,Not significant
01053115,0,0.10245161189946368,0.5217313917422486,Not significant
01053119,0,0.09652694645202745,0.546080605516732,Not significant
01053126,0,0.10245161189946368,0.5217313917422486,Not significant
01053132,0.004405978685222753,0.0800517222234608,0.5461117511376434,Not significant
01053003,0.008293977620632905,0.02982674860171282,0.7834095456388842,Not significant
01053012,1.2407123419581393e-4,0.03898365285455106,0.806367228714897,Not significant
01053023,0,0.10245161189946368,0.5217313917422486,Not significant
01053028,5.21490645769733e-7,0.08263713391632824,0.6052758060980976,Not significant
01053050,0,0.04139338345876293,0.7956330511982271,Not significant
01053053,0,0.10245161189946368,0.5217313917422486,Not significant
01053072,0,0.10232799101039873,0.5222336854292433,Not significant
01053131,0,0.10245161189946368,0.5217313917422486,Not significant
01053133,0.04393213936336727,-0.04175612761092264,0.7101039247272192,Not significant
01053135,0,0.10245161189946368,0.5217313917422486,Not significant
01053006,0,0.10245161189946368,0.5217313917422486,Not significant
01053019,0,-0.08452167447041002,0.5974339560231923,Not significant
01053022,0,0.09808000029083215,0.5396437595450669,Not significant
01053058,0,-0.027721671433326642,0.8626227576765473,Not significant
01053073,0,0.10245161189946368,0.5217313917422486,Not significant
01053074,0,-0.027721671433326642,0.8626227576765473,Not significant
01053082,0.014106538874551572,-0.054343233998685,0.45393165149502035,Not significant
01053087,0,0.10245161189946368,0.5217313917422486,Not significant
01053111,0.13119663023524505,0.14111941400744843,0.8280640763951327,Not significant
01053128,0,0.09808000029083215,0.5396437595450669,Not significant
01053054,0,0.10245161189946368,0.5217313917422486,Not significant
01053062,0,0.10245161189946368,0.5217313917422486,Not significant
01053066,0,0.10245161189946368,0.5217313917422486,Not significant
01053093,0,0.10245161189946368,0.5217313917422486,Not significant
01053107,0,0.10245161189946368,0.5217313917422486,Not significant
01053117,0,0.10245161189946368,0.5217313917422486,Not significant
01053123,0,0.10245161189946368,0.5217313917422486,Not significant
01053136,0,0.10245161189946368,0.5217313917422486,Not significant
01053007,0,0.10245161189946368,0.5217313917422486,Not significant
