model,variables,municipalities_used,pc1_variance,pc1_to_pc4_cumulative,pc1_to_pc8_cumulative
original_51,51,834,0.1617672859819068,0.4339694446736975,0.6007115750761799
all_176,176,834,0.15143465584147123,0.3301478795647798,0.44136356544840255
thesis_candidate_19,19,834,0.26379557642177565,0.5568240174390203,0.754273566426875
curated_17,17,834,0.27645686492849014,0.6344245992143642,0.8314755515444716
