PC,eigenvalue,variance,cumulative
1,26.652499428098945,0.15143465584147123,0.15143465584147123
2,15.386549632140676,0.08742357745534472,0.23885823329681594
3,8.82847061502744,0.050161764858110434,0.28901999815492635
4,7.238507128134212,0.04112788140985346,0.3301478795647798
5,6.308215931549616,0.03584213597471372,0.3659900155394935
6,4.889946320057746,0.027783785909419,0.3937738014489125
7,4.283244338379285,0.024336615558973203,0.4181104170078857
8,4.092554125530969,0.023253148440516864,0.44136356544840255
9,3.4494630194236198,0.01959922170127056,0.4609627871496731
10,3.240749128130813,0.01841334731892507,0.47937613446859817
11,2.897194488966902,0.016461332323675575,0.49583746679227375
12,2.6725260979687255,0.0151848073748223,0.511022274167096
13,2.6106290366269453,0.014833119526289457,0.5258553936933854
14,2.5461436912263706,0.014466725518331646,0.540322119211717
15,2.4302394764083535,0.013808178843229277,0.5541302980549463
16,2.2758601721366896,0.012931023705322096,0.5670613217602684
17,2.2227062838297047,0.012629012976305136,0.5796903347365735
18,2.1569368871249046,0.01225532322230059,0.5919456579588741
19,2.0235927725684437,0.011497686207775245,0.6034433441666494
20,1.9965298227639277,0.011343919447522312,0.6147872636141717
21,1.9705981624341242,0.011196580468375702,0.6259838440825474
22,1.8518544892855338,0.010521900507304166,0.6365057445898515
23,1.8134565089357297,0.010303730164407552,0.6468094747542591
24,1.7340595175253128,0.009852610895030183,0.6566620856492893
25,1.6923346803051347,0.00961553795627917,0.6662776236055684
26,1.6672170539235522,0.00947282417002018,0.6757504477755886
27,1.629505170168316,0.009258552103229066,0.6850089998788176
28,1.553256337905115,0.008825320101733605,0.6938343199805512
29,1.5259595598864535,0.00867022477208212,0.7025045447526334
30,1.497021567470842,0.008505804360629782,0.7110103491132631
31,1.44531074054881,0.008211992844027327,0.7192223419572904
32,1.417365419638911,0.00805321261158472,0.7272755545688752
33,1.4051625550672648,0.007983878153791275,0.7352594327226665
34,1.3237186332186903,0.007521128597833465,0.7427805613205
35,1.2727700046877737,0.007231647753907802,0.7500122090744078
36,1.2289575186998292,0.006982713174430845,0.7569949222488387
37,1.2020461096269517,0.0068298074410622234,0.7638247296899009
38,1.1695844040293029,0.006645365931984673,0.7704700956218856
39,1.1339511510936566,0.006442904267577592,0.7769129998894632
40,1.125213749796908,0.006393259942027884,0.783306259831491
41,1.0734577849742801,0.006099191960081135,0.7894054517915722
42,1.0426512511298531,0.005924154835965072,0.7953296066275373
43,1.0143451531720726,0.005763324733932229,0.8010929313614695
44,0.9968986986232777,0.005664197151268622,0.8067571285127382
45,0.9735678195862133,0.005531635338558028,0.8122887638512962
46,0.9594340155091624,0.005451329633574785,0.817740093484871
47,0.9317899547979496,0.0052942611068065295,0.8230343545916775
48,0.9213143060323327,0.005234740375183707,0.8282690949668612
49,0.9016987169515638,0.00512328816449752,0.8333923831313587
50,0.8811371362258358,0.005006461001283156,0.8383988441326418
51,0.8512409700128988,0.0048365964205278325,0.8432354405531696
52,0.8397627899761768,0.004771379488501003,0.8480068200416706
53,0.8242052466371963,0.004682984355893159,0.8526898043975638
54,0.8112316295242195,0.0046092706222967,0.8572990750198605
55,0.7657128608605398,0.00435064125488943,0.8616497162747498
56,0.7395790434791765,0.004202153656131683,0.8658518699308815
57,0.7340017727661862,0.004170464617989693,0.8700223345488711
58,0.7196728283380085,0.00408905016101141,0.8741113847098826
59,0.6883995240948811,0.003911360932357278,0.8780227456422399
60,0.6830716809587963,0.003881089096356796,0.8819038347385967
61,0.6575104569751185,0.003735854869176808,0.8856396896077735
62,0.6523332244598129,0.0037064387753398447,0.8893461283831133
63,0.6273464159214871,0.0035644682722811754,0.8929105966553945
64,0.6130451085783467,0.0034832108441951505,0.8963938074995896
65,0.6020803018494332,0.0034209108059626873,0.8998147183055524
66,0.5919912155421305,0.0033635864519439224,0.9031783047574963
67,0.5786943626477636,0.003288036151407747,0.906466340908904
68,0.5646081575160387,0.0032080008949774913,0.9096743418038815
69,0.5478793240472902,0.003112950704814148,0.9127872925086956
70,0.5251472976590154,0.002983791463971677,0.9157710839726673
71,0.4999420438856732,0.0028405797948049603,0.9186116637674723
72,0.490370640861188,0.0027861968230749306,0.9213978605905472
73,0.46804282421528004,0.0026593342284959086,0.9240571948190431
74,0.4598614523333695,0.002612849160985053,0.9266700439800282
75,0.44051220500808425,0.0025029102557277507,0.929172954235756
76,0.4206069288068797,0.002389812095493634,0.9315627663312496
77,0.40863898031841367,0.002321812388172804,0.9338845787194223
78,0.3972103398926356,0.0022568769312081563,0.9361414556506304
79,0.39045528692689796,0.002218495948448283,0.9383599515990787
80,0.3874225119471275,0.0022012642724268602,0.9405612158715055
81,0.3748065305519653,0.0021295825599543473,0.9426907984314599
82,0.3654356403427441,0.0020763388655837727,0.9447671372970436
83,0.3527773351961805,0.002004416677251025,0.9467715539742947
84,0.3356765267131069,0.0019072529926881068,0.9486788069669828
85,0.33360977699407945,0.0018955100965572691,0.9505743170635401
86,0.32528233040026755,0.0018481950590924286,0.9524225121226325
87,0.3125586842693597,0.0017759016151668158,0.9541984137377993
88,0.3074309271246577,0.0017467666313901,0.9559451803691894
89,0.2972168979450434,0.0016887323746877462,0.9576339127438771
90,0.2924739442440434,0.0016617837741138824,0.959295696517991
91,0.2867818842745105,0.001629442524286991,0.9609251390422779
92,0.2775751008880403,0.0015771312550456832,0.9625022702973236
93,0.2751188471064486,0.0015631752676502758,0.9640654455649739
94,0.270713463870413,0.0015381446810818916,0.9656035902460558
95,0.26444802843092663,0.00150254561608481,0.9671061358621406
96,0.2466757434413527,0.0014015667240985944,0.9685077025862392
97,0.24285015988289957,0.0013798304538801107,0.9698875330401193
98,0.23854612005731157,0.0013553756821438154,0.9712429087222632
99,0.2267465777117858,0.0012883328279078734,0.972531241550171
100,0.21721654473512222,0.0012341849132677396,0.9737654264634388
101,0.21163648313285582,0.0012024800178003167,0.9749679064812391
102,0.20247128363578795,0.0011504050206578857,0.976118311501897
103,0.19820529741334575,0.0011261664625758277,0.9772444779644728
104,0.19005082382509994,0.0010798342262789767,0.9783243121907518
105,0.18304595347002262,0.001040033826534219,0.979364346017286
106,0.1796153484189597,0.0010205417523804525,0.9803848877696664
107,0.1657456532326804,9.417366660947747e-4,0.9813266244357611
108,0.16516087938202512,9.384140873978697e-4,0.982265038523159
109,0.15713417422681558,8.928078081069064e-4,0.9831578463312659
110,0.15499648627288953,8.806618538232357e-4,0.9840385081850891
111,0.14935904801055883,8.486309546054476e-4,0.9848871391396945
112,0.14717027884167636,8.361947661458881e-4,0.9857233339058404
113,0.13906327944108302,7.901322695516077e-4,0.986513466175392
114,0.13755652617512407,7.815711714495683e-4,0.9872950373468417
115,0.13001333832230105,7.387121495585285e-4,0.9880337494964002
116,0.1255085578083459,7.131168057292379e-4,0.9887468663021295
117,0.11947238272169644,6.78820356373275e-4,0.9894256866585027
118,0.11235543550218093,6.383831562623914e-4,0.9900640698147651
119,0.10659597602758071,6.056589547021629e-4,0.9906697287694674
120,0.10296362869153572,5.850206175655436e-4,0.9912547493870328
121,0.09935145073949782,5.64496879201692e-4,0.9918192462662345
122,0.09590078208498776,5.448908073010666e-4,0.9923641370735355
123,0.08914376594472027,5.064986701404559e-4,0.992870635743676
124,0.08635496728705656,4.906532232219122e-4,0.9933612889668979
125,0.08128335376732192,4.6183723731432893e-4,0.9938231262042122
126,0.07674385976290891,4.360446577438005e-4,0.994259170861956
127,0.07381989925937736,4.194312457919167e-4,0.99467860210774794
128,0.06881779984800605,3.910102264091252e-4,0.995069612334157
129,0.06591520742452782,3.7451822400299883e-4,0.9954441305581601
130,0.06334545290197018,3.599173460339213e-4,0.995804047904194
131,0.06151182851448984,3.4949902565051033e-4,0.9961535469298445
132,0.05925455054636743,3.366735826498148e-4,0.9964902205124943
133,0.05599626266793447,3.1816058334053663e-4,0.9968083810958348
134,0.05359028188208968,3.044902379664186e-4,0.9971128713338012
135,0.049650223244497464,2.821035411619173e-4,0.9973949748749631
136,0.047715395168270766,2.7111019981972015e-4,0.9976660850747828
137,0.044404251696383304,2.522968846385414e-4,0.9979183819594214
138,0.04211763233761545,2.393047291909968e-4,0.9981576866886124
139,0.04071103509531986,2.3131269940522643e-4,0.9983889993880176
140,0.037644472125106826,2.1388904616537964e-4,0.998602888434183
141,0.03391196226240429,1.9268160376366067e-4,0.9987955700379466
142,0.03322198969267149,1.8876130507199703e-4,0.9989843313430186
143,0.02835982160043647,1.611353500024799e-4,0.9991454666930211
144,0.023823247095638937,1.3535935849794847e-4,0.999280826051519
145,0.021512943892935166,1.2223263575531342e-4,0.9994030586872743
146,0.02049817473056324,1.1646690187820018e-4,0.9995195255891525
147,0.01872896010382662,1.064145460444694e-4,0.9996259401351969
148,0.012290715903176496,6.983361308623007e-5,0.9996957737482831
