AGS,mun_name,municipality_area_m2,landcover_total_area_m2,landcover_area_ratio_to_municipality,artificial_total_area_m2,has_artificial_land
13076075,Kreien,25030179.93319736,25030176.44161311,0.999999860505028,303671.1275477667,TRUE
13076079,Kuhstorf,15095458.439159146,15095456.870837834,0.9999998961064138,426077.7228033956,TRUE
14521150,Drebach,32969170.068404295,32969167.496984366,0.9999999220053182,2003711.2581632098,TRUE
15083245,"Gröningen, Stadt",59740558.31405812,59740553.01398032,0.9999999112817498,2425055.6470173416,TRUE
14628330,Reinhardtsdorf-Schöna,31705942.714922413,31705939.6986282,0.9999999048665973,767625.4430961137,TRUE
13076067,Karenz,6849905.868239488,6849905.715304287,0.9999999776733864,145676.05608708962,TRUE
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,51123621.35229083,0.9999999568974116,2058474.54086619,TRUE
16076094,Berga-Wünschendorf,62960697.0203359,62960693.31006557,0.9999999410700563,3565001.4678130634,TRUE
13076069,Karstädt,19720158.522239417,19720157.182088934,0.9999999320415969,371470.99530613597,TRUE
15084130,Elsteraue,80447255.68973264,80447250.43114474,0.9999999346330978,7806030.688041736,TRUE
14628320,Rathmannsdorf,4185752.195803851,4185751.7664188244,0.9999998974174756,403352.5146368326,TRUE
14522020,"Augustusburg, Stadt",23324653.61563441,23324652.367788147,0.9999999465009733,1310118.7357554955,TRUE
15002000,"Halle (Saale), Stadt",135824964.26597008,135824953.1636223,0.999999918259888,51591001.0020125,TRUE
15083270,"Haldensleben, Stadt",156431520.31214672,156431500.55436742,0.9999998736969425,11691290.731608778,TRUE
12061260,"Königs Wusterhausen, Stadt",95823966.69664505,95823954.9954651,0.999999877888796,15631087.868758433,TRUE
15084150,Gleina,29875109.423009828,29875110.761932712,1.0000000448173383,801617.9186722847,TRUE
12072312,Nuthe-Urstromtal,341192433.78414,341192399.84075147,0.9999999005154125,12085929.731841305,TRUE
15084135,"Freyburg (Unstrut), Stadt",46837141.22753964,46837138.04248314,0.9999999319972053,2604947.9887794503,TRUE
12062124,"Elsterwerda, Stadt",40376165.00680845,40376161.81740379,0.9999999210077366,5620897.91452926,TRUE
12062128,"Falkenberg/Elster, Stadt",81963253.69837146,81963246.61680456,0.9999999136007103,4462457.468675143,TRUE
12067397,Ragow-Merz,38032358.61743702,38032357.6550307,0.9999999746950661,371813.4652060297,TRUE
12066064,Frauendorf,20809430.093916778,20809427.894733246,0.9999998943179356,478987.4910855184,TRUE
12061265,Krausnick-Groß Wasserburg,54671599.66240399,54671597.41296614,0.9999999588554593,1248857.2649560443,TRUE
15084170,Goseck,14465217.502377346,14465215.64163728,0.9999998713645291,531923.2649679903,TRUE
01058119,Oldenbüttel,4571073.039308612,4571072.653310229,0.9999999155562863,157070.76708137788,TRUE
14522420,Niederwiesa,16579992.672688615,16579991.307130948,0.9999999176382225,1540072.9292955478,TRUE
16075134,Remptendorf,97380292.82756546,97380285.48715207,0.9999999246211613,1968009.3822681254,TRUE
16075135,"Saalburg-Ebersdorf, Stadt",71989502.31522453,71989496.90031004,0.9999999247818875,3124523.695600403,TRUE
16075136,Rosenthal am Rennsteig,51856705.8725284,51856702.03313628,0.9999999259615115,2091535.903577921,TRUE
01058124,Osterrönfeld,17919744.749897826,17919743.392328206,0.9999999242416876,2335050.3782430515,TRUE
16075125,Wilhelmsdorf,9420839.207122868,9420838.842991816,0.9999999613483423,165735.38730411348,TRUE
16075127,"Ziegenrück, Stadt",8249560.409786124,8249559.909825369,0.9999999393954672,281886.00545908575,TRUE
16076003,"Bad Köstritz, Stadt",20153208.322012063,20153206.8233382,0.9999999256359663,1802398.3361573992,TRUE
14522440,"Oederan, Stadt",77579600.43018354,77579594.15610822,0.9999999191272538,2816362.856554626,TRUE
12073572,"Templin, Stadt",378905948.0809287,378905936.8609548,0.999999970388499,11946703.244936477,TRUE
01058140,Schacht-Audorf,6283014.522038246,6283014.244935623,0.9999999558965491,1738990.1312911743,TRUE
01058148,Schülp b. Rendsburg,8028885.458245777,8028884.5721332505,0.9999998896344292,456124.84607274196,TRUE
03360002,"Bad Bevensen, Stadt",48165364.50427336,48165360.72080713,0.9999999214484044,3785478.8516011564,TRUE
03360004,Bienenbüttel,99544191.18334588,99544184.3932813,0.9999999317884398,2885428.1897994485,TRUE
03360008,Emmendorf,11006393.409583993,11006392.952426752,0.999999958464392,483965.91979192424,TRUE
12062500,"Uebigau-Wahrenbrück, Stadt",135709259.22440073,135709249.50697204,0.9999999283952419,4481944.6863577,TRUE
01058132,Rade b. Rendsburg,6542077.157998715,6542076.796782333,0.999999944785674,216801.1826437841,TRUE
01058135,"Rendsburg, Stadt",9258032.509931145,9258031.950538846,0.9999999395776263,3597737.442682294,TRUE
03359001,Agathenburg,11108542.480012393,11108541.657234324,0.9999999259328513,857663.1823429263,TRUE
03359004,Balje,58492807.81124808,58492802.28122527,0.9999999054580723,903529.9424890188,TRUE
