rp,thesis_group,municipalities,total_area_m2,flooded_area_m2,mean_flood_share_of_group,median_flood_share_of_group,rp_flooded_landcover_area_m2,share_of_all_flooded_landcover_area
rp100,artificial,835,3809355934.043914,499442568.47169024,0.17458198863525648,0.06178207851621977,8355168944.28237,0.05977647750779116
rp100,open_or_seasonal,835,24362324268.569984,3883789158.819793,0.23758642058066512,0.08724968025957049,8355168944.28237,0.4648366998584221
rp100,perennial_vegetation,835,17852525754.272053,3289519286.5551586,0.2764164728361415,0.14737839266263983,8355168944.28237,0.39371068478588345
rp100,water,835,1296384295.6435204,682417930.4357268,0.4807489198252741,0.5234735332402773,8355168944.28237,0.08167613784790322
