AGS,mun_name,municipality_area_m2,landcover_total_area_m2,lc_artificial_land_total_area_m2,lc_open_soil_total_area_m2,lc_high_seasonal_vegetation_total_area_m2,lc_high_perennial_vegetation_total_area_m2,lc_low_seasonal_vegetation_total_area_m2,lc_low_perennial_vegetation_total_area_m2,lc_water_total_area_m2,lc_artificial_land_total_share_of_municipality,lc_open_soil_total_share_of_municipality,lc_high_seasonal_vegetation_total_share_of_municipality,lc_high_perennial_vegetation_total_share_of_municipality,lc_low_seasonal_vegetation_total_share_of_municipality,lc_low_perennial_vegetation_total_share_of_municipality,lc_water_total_share_of_municipality,lc_group_artificial_total_area_m2,lc_group_open_or_seasonal_total_area_m2,lc_group_perennial_vegetation_total_area_m2,lc_group_water_total_area_m2,lc_group_artificial_total_share_of_municipality,lc_group_open_or_seasonal_total_share_of_municipality,lc_group_perennial_vegetation_total_share_of_municipality,lc_group_water_total_share_of_municipality,rp100_lc_class_artificial_land_flooded_area_m2,rp100_lc_class_open_soil_flooded_area_m2,rp100_lc_class_high_seasonal_vegetation_flooded_area_m2,rp100_lc_class_high_perennial_vegetation_flooded_area_m2,rp100_lc_class_low_seasonal_vegetation_flooded_area_m2,rp100_lc_class_low_perennial_vegetation_flooded_area_m2,rp100_lc_class_water_flooded_area_m2,rp100_lc_class_artificial_land_flood_share_of_class,rp100_lc_class_open_soil_flood_share_of_class,rp100_lc_class_high_seasonal_vegetation_flood_share_of_class,rp100_lc_class_high_perennial_vegetation_flood_share_of_class,rp100_lc_class_low_seasonal_vegetation_flood_share_of_class,rp100_lc_class_low_perennial_vegetation_flood_share_of_class,rp100_lc_class_water_flood_share_of_class,rp100_lc_class_artificial_land_share_of_lc_flooded_area,rp100_lc_class_open_soil_share_of_lc_flooded_area,rp100_lc_class_high_seasonal_vegetation_share_of_lc_flooded_area,rp100_lc_class_high_perennial_vegetation_share_of_lc_flooded_area,rp100_lc_class_low_seasonal_vegetation_share_of_lc_flooded_area,rp100_lc_class_low_perennial_vegetation_share_of_lc_flooded_area,rp100_lc_class_water_share_of_lc_flooded_area,rp100_lc_class_artificial_land_share_of_original_flood_area,rp100_lc_class_open_soil_share_of_original_flood_area,rp100_lc_class_high_seasonal_vegetation_share_of_original_flood_area,rp100_lc_class_high_perennial_vegetation_share_of_original_flood_area,rp100_lc_class_low_seasonal_vegetation_share_of_original_flood_area,rp100_lc_class_low_perennial_vegetation_share_of_original_flood_area,rp100_lc_class_water_share_of_original_flood_area,rp100_lc_group_artificial_flooded_area_m2,rp100_lc_group_open_or_seasonal_flooded_area_m2,rp100_lc_group_perennial_vegetation_flooded_area_m2,rp100_lc_group_water_flooded_area_m2,rp100_lc_group_artificial_flood_share_of_group,rp100_lc_group_open_or_seasonal_flood_share_of_group,rp100_lc_group_perennial_vegetation_flood_share_of_group,rp100_lc_group_water_flood_share_of_group,rp100_lc_group_artificial_share_of_lc_flooded_area,rp100_lc_group_open_or_seasonal_share_of_lc_flooded_area,rp100_lc_group_perennial_vegetation_share_of_lc_flooded_area,rp100_lc_group_water_share_of_lc_flooded_area,rp100_lc_group_artificial_share_of_original_flood_area,rp100_lc_group_open_or_seasonal_share_of_original_flood_area,rp100_lc_group_perennial_vegetation_share_of_original_flood_area,rp100_lc_group_water_share_of_original_flood_area,lc_flooded_total_area_m2_rp100,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,rp100_artificial_flooded_area_m2,rp100_artificial_flood_share_of_group,rp100_artificial_share_of_lc_flooded_area,rp100_artificial_share_of_original_flood_area,vuln_index_main_z,vuln_dim_access_adaptive_capacity_z,vuln_dim_demographic_household_z,vuln_dim_deprivation_labour_z,flood_share_rp100_original,pop_total,protection_available,protection_status,loss_portfolio_status,no_simulated_loss_event,annual_loss_probability_model,protection_return_period,n_nonzero_years,city_label,vuln_quintile_num,vuln_quintile,vulnerability_tercile,total_area_exposure_tercile,artificial_exposure_tercile,high_total_area_exposure,high_artificial_exposure,high_vulnerability,high_high_artificial_vulnerability,bivariate_artificial_vulnerability
13076075,Kreien,25030179.93319736,25030176.44161311,303671.1275477667,300.02918366358244,2355383.603200583,3951811.8586056563,13611092.575672546,4656751.395798718,151165.85160417698,0.012132199143523125,1.1986697037908855e-5,0.09410174475320704,0.157881879760856,0.5437872445183762,0.18604546224705718,0.006039343384970506,303671.1275477667,15966776.208056793,8608563.254404373,151165.85160417698,0.012132199143523125,0.6379009759686212,0.34392734200791314,0.006039343384970506,43.806816648755266,0,214168.5885076157,4901.887322896048,255175.97182270256,248875.959155492,44022.8200071159,1.4425743073603387e-4,0,0.0909272647634107,0.0012404151559547204,0.018747647949936445,0.05344411543635888,0.2912219892253726,5.710042079373795e-5,0,0.2791601275810404,0.006389412658424863,0.33261159979633775,0.3243997870734924,0.05738197246991077,5.710042591264458e-5,0,0.27916015260703164,0.006389413231219361,0.3326116296141167,0.3243998161551033,0.0573819776140578,43.806816648755266,469344.5603303183,253777.84647838803,44022.8200071159,1.4425743073603387e-4,0.029395073508545092,0.029479698177108524,0.2912219892253726,5.710042079373795e-5,0.6117717273773782,0.3307891997319173,0.05738197246991077,5.710042591264458e-5,0.6117717822211484,0.3307892293863227,0.0573819776140578,767189.033632471,755573.059353717,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,0.03018648133454308,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,43.806816648755266,1.4425743073603387e-4,5.710042079373795e-5,5.710042591264458e-5,1.2440842695159144,2.167040363295677,0.24507653815870645,-0.4186579485748669,0.03065055732333851,334,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,5,Q5 highest,High vulnerability,Low total-area exposure,Low artificial-land exposure,FALSE,FALSE,TRUE,FALSE,Low artificial-land exposure / High vulnerability
13076079,Kuhstorf,15095458.439159146,15095456.870837834,426077.7228033956,0,2023973.5696777562,2946029.1793937515,7215131.923813515,2483944.4096554173,300.0654939967262,0.028225557012439378,0,0.1340783108929878,0.19515996756689774,0.47796706227197006,0.16454912049652062,1.9877865598193823e-5,426077.7228033956,9239105.493491272,5429973.589049169,300.0654939967262,0.028225557012439378,0.6120453731649579,0.35970908806341834,1.9877865598193823e-5,120785.4121055117,0,132446.04483998707,5637.201775979908,1628391.9960780637,657981.9492185732,0,0.2834821105191776,NA,0.06543862371734145,0.0019134914940455408,0.22569122966463886,0.2648939914520273,0,0.04745536316060032,0,0.05203670747570293,0.0022147993936140267,0.6397786967369472,0.25851443323313555,0,0.04745536728136335,0,0.05203671199428474,0.0022147995859350387,0.6397787522918145,0.2585144556811087,0,120785.4121055117,1760838.0409180508,663619.1509945531,0,0.2834821105191776,0.19058533774276298,0.12221406607444624,0,0.04745536316060032,0.6918154042126502,0.2607292326267496,0,0.04745536728136335,0.6918154642860992,0.26072925526704377,0,2545242.6040181154,1380350.908203125,2170554.0517578125,2427338.4919971507,2545242.3830032498,2697089.992769203,3113185.6121274284,0.09144146988092491,0.14378854809252933,0.16079925639756584,0.16860981024601637,0.17866896879214209,0.20623326046538012,120785.4121055117,0.2834821105191776,0.04745536316060032,0.04745536728136335,-1.2272611127886217,0.9194591415645712,-1.8434051252995851,-1.0425563768818529,0.16860981024601637,703,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,1,Q1 lowest,Low vulnerability,Medium total-area exposure,High artificial-land exposure,FALSE,TRUE,FALSE,FALSE,High artificial-land exposure / Low vulnerability
14521150,Drebach,32969170.068404295,32969167.496984366,2003711.2581632098,31535.19527252656,2681479.839397066,6878741.349245387,10500974.321840279,10822298.174789088,50427.358276809406,0.06077530171387142,9.565055840683119e-4,0.08133294935339722,0.20864162898166388,0.3185089069592259,0.32825509869781466,0.0015295307152768157,2003711.2581632098,13213989.356509872,17701039.524034474,50427.358276809406,0.06077530171387142,0.40079836189669144,0.5368967276794785,0.0015295307152768157,171347.02878920696,173.04561067747636,306350.2094382845,160570.57145498635,47478.843414630275,115796.99355009136,21403.13891284712,0.08551483058805577,0.005487380343835498,0.11424669502910294,0.02334301630233579,0.004521375060967646,0.010699852441678644,0.4244350615267114,0.20816778104531866,2.1023137108888923e-4,0.37218178670602836,0.1950755714712968,0.05768156909438213,0.14068060222214934,0.02600245808973575,0.2081677737056588,2.1023136367647054e-4,0.3721817735834995,0.19507556459324712,0.057681567060623135,0.14068059726197846,0.02600245717293106,171347.02878920696,354002.09846359224,276367.5650050777,21403.13891284712,0.08551483058805577,0.026789948812028754,0.015613069765186715,0.4244350615267114,0.20816778104531866,0.43007358717149935,0.3357561736934461,0.02600245808973575,0.2081677737056588,0.43007357200779905,0.33575616185522555,0.02600245717293106,823119.8311707241,713862.4316302198,802914.5623635487,823119.8601926013,823119.8601926013,823119.8601926013,862977.188283626,0.02165242346559228,0.02435349633301854,0.0249663506386359,0.0249663506386359,0.0249663506386359,0.02617527788819447,171347.02878920696,0.08551483058805577,0.20816778104531866,0.2081677737056588,0.10381130164515356,-0.23642591665773616,0.236336171948862,0.16643182759296302,0.0249663506386359,4934,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,3,Q3,Medium vulnerability,Low total-area exposure,Medium artificial-land exposure,FALSE,FALSE,FALSE,FALSE,Medium artificial-land exposure / Medium vulnerability
15083245,"Gröningen, Stadt",59740558.31405812,59740553.01398032,2425055.6470173416,24679.609568746113,1593383.2561700372,22606.39765488545,50697523.11624975,4572808.6196709145,404496.36764865124,0.040593119908065516,4.131131389667398e-4,0.026671716855968572,3.7840954776557093e-4,0.848628210833437,0.07654445737904735,0.0067708836184991825,2425055.6470173416,52315585.981988534,4595415.0173258,404496.36764865124,0.040593119908065516,0.8757130408283723,0.07692286692681292,0.0067708836184991825,117363.61633969627,300.1069618760812,229053.3759305119,3302.9701665096463,5992559.358927231,1862241.8965114823,211738.56159670957,0.04839625700302827,0.012160117891659524,0.14375284479961206,0.14610776192357405,0.11820221167780237,0.4072424742423399,0.5234622076523252,0.013944368949226554,3.565672506647279e-5,0.027214607751999104,3.924370777463891e-4,0.7119962834918053,0.22125927001518542,0.025157375988970755,0.013944368919112651,3.5656724989469445e-5,0.027214607693227134,3.924370768988921e-4,0.7119962819541964,0.22125926953735955,0.025157375934641533,117363.61633969627,6221912.841819619,1865544.866677992,211738.56159670957,0.04839625700302827,0.11893038613696746,0.4059578644462899,0.5234622076523252,0.013944368949226554,0.7392465479688709,0.2216517070929318,0.025157375988970755,0.013944368919112651,0.739246546372413,0.22165170661425845,0.025157375934641533,8416559.886434017,7215822.24991054,7804376.073283299,8368362.93684248,8416559.904610204,8721118.202846523,9002816.694272613,0.12078598616331504,0.130637816142518,0.14007841863227516,0.14088518993016547,0.14598320553014105,0.1506985697546465,117363.61633969627,0.04839625700302827,0.013944368949226554,0.013944368919112651,0.24626049926221663,-0.6008566755020309,-0.13439697778087778,1.1298492679239196,0.14088518993016547,3374,TRUE,Finite protection RP available,positive_modeled_loss,FALSE,0.7596,1.3164823591363877,3798,NA,4,Q4,Medium vulnerability,Medium total-area exposure,Medium artificial-land exposure,FALSE,FALSE,FALSE,FALSE,Medium artificial-land exposure / Medium vulnerability
14628330,Reinhardtsdorf-Schöna,31705942.714922413,31705939.6986282,767625.4430961137,8612.741744167879,5139286.54256339,16701015.218603577,5153247.965510292,3637531.934067282,298619.85304337664,0.024210774932575355,2.7164439870492447e-4,0.16209221686837222,0.5267471580570048,0.1625325577556448,0.11472713386173111,0.009418418992564164,767625.4430961137,10301147.24981785,20338547.15267086,298619.85304337664,0.024210774932575355,0.3248964190227219,0.641474291918736,0.009418418992564164,14166.420823339047,0,69777.2647511963,3522.345072167798,13815.861252824441,105255.56401165304,280176.3144431271,0.018454860962138903,0,0.013577227923234764,2.109060452950304e-4,0.0026810006708955928,0.028935983496359917,0.9382373997834279,0.029106266734607637,0,0.14336406529119014,0.0072369948966179345,0.028386008562624104,0.2162576249589801,0.57564903955598,0.029106266906418182,0,0.14336406613744979,0.007236994939336983,0.02838600873018306,0.216257626235521,0.5756490429539622,14166.420823339047,83593.12600402074,108777.90908382084,280176.3144431271,0.018454860962138903,0.008114933606594049,0.005348361820895162,0.9382373997834279,0.029106266734607637,0.17175007385381424,0.22349461985559801,0.57564903955598,0.029106266906418182,0.17175007486763283,0.223494621174858,0.5756490429539622,486713.7703543077,459822.260527881,486713.767481299,486713.767481299,486713.767481299,486713.767481299,496688.538965674,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,14166.420823339047,0.018454860962138903,0.029106266734607637,0.029106266906418182,0.14951714683243997,0.2679162766102787,0.3344717246525439,-0.36280913810582344,0.01535086882157984,1282,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,3,Q3,Medium vulnerability,Low total-area exposure,Low artificial-land exposure,FALSE,FALSE,FALSE,FALSE,Low artificial-land exposure / Medium vulnerability
13076067,Karenz,6849905.868239488,6849905.715304287,145676.05608708962,0,698262.5644530826,460965.48699089815,3801377.0138336816,1742724.3982580383,900.1956814974546,0.021266869777369683,0,0.10193754160778633,0.06729515643831352,0.5549531755551969,0.25441581706084676,1.314172338734366e-4,145676.05608708962,4499639.578286764,2203689.8852489367,900.1956814974546,0.021266869777369683,0.6568907171629831,0.3217109734991603,1.314172338734366e-4,0,0,4920.727246036281,1506.6310042185505,483888.72810220456,152582.39260927032,0,0,NA,0.007047101615551255,0.0032684247448839902,0.1272930115432575,0.08755394298822346,0,0,0,0.007653972449869805,0.00234349754046974,0.7526674022991574,0.23733512771050314,0,0,0,0.00765397235850738,0.002343497512496342,0.752667393314866,0.23733512487752811,0,0,488809.45534824085,154089.02361348888,0,0,0.10863302423309976,0.06992318866866444,0,0,0.7603213747490272,0.2396786252509729,0,0,0.7603213656733734,0.23967862239002447,0,642898.4789617297,0,103410.14701981976,170111.93714269827,642898.4866357532,913858.7167009292,973324.768096918,0,0.01509657928283289,0.02483420070507029,0.0938550834131369,0.1334118649627228,0.14209315964615946,0,0,0,0,3.358100426556174,1.5659435107163282,3.4757938190076856,0.33911630215393174,0.0938550834131369,227,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,5,Q5 highest,High vulnerability,Medium total-area exposure,Low artificial-land exposure,FALSE,FALSE,TRUE,FALSE,Low artificial-land exposure / High vulnerability
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,51123621.35229083,2058474.54086619,4386.752179371175,5031730.901458273,12968310.826419769,21147323.111058958,9815724.065014264,97671.15529399976,0.04026464475111698,8.580675379120483e-5,0.09842281418024346,0.2536657209411653,0.41365070861919667,0.19199977197020904,0.0019104896816888649,2058474.54086619,26183440.7646966,22784034.891434032,97671.15529399976,0.04026464475111698,0.5121593295532313,0.44566549291137436,0.0019104896816888649,8670.233356262055,0,61160.79708766267,3702.754459554872,5060.098093216207,325838.048541989,15523.806930975503,0.0042119701672937325,0,0.012155021459899084,2.855232658374762e-4,2.3927842151189515e-4,0.0331955183727463,0.15893952400017508,0.020645588480007006,0,0.14563629326875177,0.008817011223725371,0.012049122394792026,0.7758866439814803,0.03696534065124346,0.020645587758027443,0,0.14563628817582705,0.008817010915393064,0.012049121973432268,0.7758866168485989,0.03696533935855952,8670.233356262055,66220.89518087888,329540.80300154386,15523.806930975503,0.0042119701672937325,0.0025291135636445914,0.014463671802286398,0.15893952400017508,0.020645588480007006,0.1576854156635438,0.7847036552052056,0.03696534065124346,0.020645587758027443,0.15768541014925933,0.7847036277639919,0.03696533935855952,419955.73846966034,131570.06012720842,330506.5378451049,398421.02461911464,419955.7531555809,419955.7531555809,419955.7531555809,0.00257356679703016,0.00646484961074862,0.00779328609569017,0.00821451462056067,0.00821451462056067,0.00821451462056067,8670.233356262055,0.0042119701672937325,0.020645588480007006,0.020645587758027443,-0.22849091684437944,-0.30725048419596024,-0.06643488432434652,0.00756285174552898,0.00821451462056067,4479,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,3,Q3,Medium vulnerability,Low total-area exposure,Low artificial-land exposure,FALSE,FALSE,FALSE,FALSE,Low artificial-land exposure / Medium vulnerability
16076094,Berga-Wünschendorf,62960697.0203359,62960693.31006557,3565001.4678130634,805217.2012840032,8815733.574503276,7218743.592690224,28956393.941648588,13266579.022851791,333024.50927461893,0.056622649311865,0.012789204049375807,0.14001963116221303,0.11465475978384763,0.45991222003618953,0.2107120735745154,0.005289403152049828,3565001.4678130634,38577344.71743587,20485322.615542017,333024.50927461893,0.056622649311865,0.6127210552477784,0.3253668333583631,0.005289403152049828,656730.9782204764,300.16312734819803,357166.3281128384,19423.17597837434,1144080.2158583782,1451266.0842289962,104307.88491213048,0.18421618732834508,3.727728703131981e-4,0.04051464635295118,0.002690658800797753,0.039510452101317206,0.10939263857918295,0.3132138386430773,0.17591284007969252,8.04020976170507e-5,0.095671051378471,0.005202717951545166,0.30645486009504014,0.388738078535332,0.02794004986230215,NA,NA,NA,NA,NA,NA,NA,656730.9782204764,1501546.7070985648,1470689.2602073706,104307.88491213048,0.18421618732834508,0.03892301862911545,0.07179234068257108,0.3132138386430773,0.17591284007969252,0.40220631357112824,0.3939407964868772,0.02794004986230215,NA,NA,NA,NA,3733274.830438542,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,656730.9782204764,0.18421618732834508,0.17591284007969252,NA,NA,NA,NA,NA,0.05929532539288969,NA,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,NA,NA,NA,NA,High artificial-land exposure,NA,TRUE,NA,NA,Missing
13076069,Karstädt,19720158.522239417,19720157.182088934,371470.99530613597,11.651727566812708,2819721.7576611014,2848231.4524881244,9310883.995583558,4369538.483437591,298.84588485436154,0.018837120142173775,5.90853646215494e-7,0.1429867693244534,0.1444324825926744,0.47215056537619643,0.2215772494176374,1.5154334815175951e-5,371470.99530613597,12130617.404972227,7217769.935925716,298.84588485436154,0.018837120142173775,0.615137925554296,0.36600973201031184,1.5154334815175951e-5,0,0,204.0585935578361,0,0,2580.305064048968,0,0,0,7.236834379257985e-5,0,0,5.905211897845553e-4,0,0,0,0.07328733551034317,0,0,0.9267126644896568,0,0,0,0.07328732670889872,0,0,0.9267125531960755,0,0,204.0585935578361,2580.305064048968,0,0,1.6821781344302756e-5,3.574933929669553e-4,0,0,0.07328733551034317,0.9267126644896568,0,0,0.07328732670889872,0.9267125531960755,0,2784.363657606804,0,0,0,2784.3639919950692,65701.67284174523,111819.9153239823,0,0,0,1.4119379359222705e-4,0.00333170104934248,0.00567033551976153,0,0,0,0,0.4992189477397711,0.4124394091446898,-0.8708848098225809,1.2583690917041988,1.4119379359222705e-4,611,FALSE,No simulated loss event,zero_modeled_loss_probability,TRUE,0,NA,NA,NA,4,Q4,High vulnerability,Low total-area exposure,Low artificial-land exposure,FALSE,FALSE,TRUE,FALSE,Low artificial-land exposure / High vulnerability
15084130,Elsteraue,80447255.68973264,80447250.43114474,7806030.688041736,4880213.9919009525,5368640.690869248,439268.9782314746,46718658.63250805,13868317.983475938,1366119.4661173562,0.09703290213090524,0.06066352357279736,0.06673491401092553,0.005460335153328764,0.5807365115435588,0.1723901936066407,0.016981554614941476,7806030.688041736,56967513.31527825,14307586.961707413,1366119.4661173562,0.09703290213090524,0.7081349491272817,0.17785052875996948,0.016981554614941476,158697.5963794909,0,206487.0641600553,5009.7912308945415,5516730.739335355,2622597.142435395,14927.782552854449,0.020330127144209658,0,0.0384617030734129,0.011404837307347052,0.11808409960419265,0.1891070817355221,0.010927142847382632,0.018616754654927473,0,0.024222918938807618,5.876967033258981e-4,0.647165584196433,0.3076558730144912,0.0017511724920145871,0.018616754740217543,0,0.024222919049781553,5.876967060183488e-4,0.6471655871613321,0.3076558744239738,0.0017511725000373402,158697.5963794909,5723217.803495411,2627606.93366629,14927.782552854449,0.020330127144209658,0.10046458885823419,0.1836512991812507,0.010927142847382632,0.018616754654927473,0.6713885031352407,0.30824356971781713,0.0017511724920145871,0.018616754740217543,0.6713885062111137,0.3082435711299921,0.0017511725000373402,8524450.116094047,6854240.007113347,7604675.131896122,8264392.919005497,8524450.077040466,8734357.860243589,9164169.384657651,0.08520166347934406,0.09452995091871973,0.10273057605444544,0.10596321781214506,0.10857247752403244,0.11391525175205276,158697.5963794909,0.020330127144209658,0.018616754654927473,0.018616754740217543,-0.37527011948590777,-0.1509324516627891,-0.34905397471131794,-0.10132780753099369,0.10596321781214506,7806,TRUE,Finite protection RP available,positive_modeled_loss,FALSE,0.0106,94.33962264150944,53,NA,2,Q2,Medium vulnerability,Medium total-area exposure,Medium artificial-land exposure,FALSE,FALSE,FALSE,FALSE,Medium artificial-land exposure / Medium vulnerability
