AGS,Gemeinde,shortlist_available_n,shortlist_available_pct
01054098,098,13,100
01054129,129,11,84.61538461538461
01054143,143,13,100
01054158,158,11,84.61538461538461
01054160,160,12,92.3076923076923
01054163,163,13,100
01054164,164,13,100
01054001,001,13,100
01054009,009,13,100
01054016,016,13,100
01054017,017,13,100
01054018,018,13,100
01054022,022,13,100
01054027,027,13,100
01054034,034,13,100
01054048,048,13,100
01054055,055,13,100
01054062,062,13,100
01054065,065,13,100
01054068,068,13,100
01054073,073,13,100
01054076,076,13,100
01054077,077,11,84.61538461538461
01054086,086,13,100
01054088,088,13,100
01054109,109,13,100
01054110,110,13,100
01054124,124,13,100
01054125,125,13,100
01054126,126,13,100
01054131,131,13,100
01054136,136,13,100
01054142,142,13,100
01054154,154,13,100
01054165,165,13,100
01054166,166,13,100
01054167,167,13,100
01054007,007,13,100
01054023,023,13,100
01054026,026,13,100
01054032,032,13,100
01054042,042,13,100
01054043,043,13,100
01054052,052,13,100
01054054,054,13,100
01054070,070,13,100
01054084,084,13,100
01054091,091,13,100
01054096,096,13,100
01054097,097,13,100
01054099,099,13,100
01054105,105,13,100
01054106,106,13,100
01054116,116,13,100
01054119,119,13,100
01054120,120,13,100
01054130,130,11,84.61538461538461
01054132,132,13,100
01054141,141,13,100
01054156,156,13,100
01054157,157,11,84.61538461538461
01054159,159,13,100
01054161,161,13,100
01054162,162,13,100
01054002,002,13,100
01054006,006,13,100
01054010,010,13,100
01054012,012,13,100
01054014,014,13,100
01054019,019,13,100
01054020,020,13,100
01054024,024,13,100
01054037,037,13,100
01054038,038,13,100
01054045,045,13,100
01054059,059,13,100
01054071,071,13,100
01054075,075,13,100
01054080,080,13,100
01054093,093,13,100
01054121,121,13,100
01054128,128,13,100
01054146,146,13,100
01055001,001,13,100
01055004,004,13,100
01055007,007,13,100
01055010,010,13,100
01055012,012,13,100
01055016,016,13,100
01055018,018,13,100
01055021,021,13,100
01055025,025,13,100
01055028,028,13,100
01055032,032,13,100
01055033,033,13,100
01055035,035,13,100
01055040,040,13,100
01055041,041,13,100
01055042,042,13,100
01055044,044,13,100
01055046,046,13,100
01055014,014,13,100
01055015,015,13,100
01055017,017,13,100
01055022,022,13,100
01055031,031,13,100
01055043,043,13,100
01055006,006,13,100
01055011,011,13,100
01055020,020,13,100
01055023,023,13,100
01055027,027,13,100
01055029,029,13,100
01055036,036,13,100
01055002,002,13,100
01055024,024,13,100
01055037,037,13,100
01055038,038,13,100
01055039,039,13,100
01056002,002,13,100
01056005,005,13,100
01056015,015,13,100
01056018,018,13,100
01056021,021,13,100
01056025,025,11,84.61538461538461
01056039,039,13,100
01056041,041,13,100
01056043,043,13,100
01056044,044,13,100
01056048,048,13,100
01056049,049,13,100
01056050,050,13,100
01056029,029,13,100
01056030,030,13,100
01056031,031,13,100
01056033,033,13,100
01056042,042,13,100
01056045,045,13,100
01056046,046,13,100
01056006,006,13,100
01056010,010,13,100
01056038,038,13,100
01056051,051,13,100
01056003,003,13,100
01056004,004,13,100
01056008,008,13,100
01056011,011,13,100
01056014,014,13,100
01056017,017,13,100
01056022,022,13,100
01056026,026,13,100
01056034,034,13,100
01056035,035,13,100
01056009,009,13,100
01056013,013,13,100
01056032,032,13,100
01056040,040,13,100
01056047,047,13,100
01056001,001,13,100
01056016,016,13,100
01056019,019,13,100
01056020,020,13,100
01056023,023,13,100
01056024,024,13,100
01056027,027,13,100
01056028,028,13,100
01056036,036,13,100
01056037,037,13,100
01057001,001,13,100
01057008,008,13,100
01057009,009,13,100
01057057,057,13,100
01057062,062,13,100
01057091,091,13,100
01057004,004,13,100
01057007,007,13,100
01057013,013,13,100
01057021,021,13,100
01057026,026,13,100
01057027,027,13,100
01057029,029,13,100
01057030,030,13,100
01057034,034,13,100
01057035,035,13,100
01057038,038,13,100
01057048,048,13,100
01057055,055,13,100
01057076,076,13,100
01057082,082,13,100
01057015,015,13,100
01057017,017,13,100
01057022,022,13,100
01057032,032,13,100
01057045,045,13,100
01057053,053,13,100
01057065,065,13,100
01057067,067,13,100
01057089,089,13,100
01057002,002,13,100
01057010,010,13,100
01057011,011,13,100
01057023,023,13,100
01057031,031,13,100
01057033,033,13,100
01057037,037,13,100
01057042,042,13,100
01057046,046,13,100
01057047,047,13,100
01057054,054,13,100
01057058,058,13,100
01057059,059,13,100
01057066,066,13,100
01057070,070,13,100
01057084,084,13,100
01057086,086,13,100
01057003,003,13,100
01057006,006,13,100
01057012,012,13,100
01057018,018,13,100
01057020,020,13,100
01057028,028,13,100
01057039,039,13,100
01057040,040,13,100
01057041,041,13,100
01057043,043,13,100
01057049,049,13,100
01057056,056,13,100
01057060,060,13,100
01057063,063,13,100
01057073,073,13,100
01057078,078,13,100
01057079,079,13,100
01057081,081,13,100
01057087,087,13,100
01057088,088,13,100
01057016,016,13,100
01057044,044,13,100
01057050,050,13,100
01057052,052,13,100
01057072,072,13,100
01057077,077,13,100
01057090,090,13,100
01057025,025,13,100
01057051,051,13,100
01057074,074,13,100
01057005,005,13,100
01057024,024,13,100
01057068,068,13,100
01057069,069,13,100
01057071,071,13,100
01057080,080,13,100
01057083,083,13,100
01057085,085,13,100
01058005,005,13,100
01058034,034,13,100
01058043,043,13,100
01058092,092,13,100
01058135,135,13,100
01058169,169,13,100
01058001,001,13,100
01058028,028,13,100
01058050,050,13,100
01058093,093,13,100
01058104,104,13,100
01058126,126,13,100
01058130,130,13,100
01058171,171,13,100
01058037,037,13,100
01058116,116,13,100
01058150,150,13,100
01058157,157,13,100
01058051,051,13,100
01058058,058,13,100
01058096,096,13,100
01058110,110,13,100
01058112,112,13,100
01058121,121,13,100
01058142,142,13,100
01058165,165,13,100
01058003,003,13,100
01058054,054,13,100
01058118,118,13,100
01058136,136,13,100
01058010,010,13,100
01058029,029,13,100
01058036,036,13,100
01058047,047,13,100
01058055,055,13,100
01058056,056,13,100
01058070,070,13,100
01058078,078,13,100
01058089,089,13,100
