Kuerzel,states_with_data,all_states_present,full_coverage_all_states,min_state_coverage,mean_state_coverage,max_state_coverage,states_below_95,states_below_100,municipalities_with_value_total,municipalities_total,official_short,official_name,main_dimension,sub_dimension,period_gemeinden,period_kreise,broad_dimension
q_alo_ü55_einw_f,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Weibliche ältere Arbeitslose,Anteil der weiblichen Arbeitslosen 55 Jahre und älter an weiblichen Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,2001-2023,1998-2023,Labour market and employment
q_alo_ü55_einw,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Ältere Arbeitslose,Anteil der Arbeitslosen 55 Jahre und älter an Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen,2001-2023,1998-2023,Labour market and employment
a_alo_experte,16,TRUE,FALSE,0.922800718132855,0.992716817033289,1,1,6,10768,10978,Arbeitslose mit Anforderungsniveau Experte,Anteil Arbeitslose Anforderungsniveau Experte an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,2017-2023,2010-2023,Labour market and employment
a_alo_fachkraft,16,TRUE,FALSE,0.922800718132855,0.992716817033289,1,1,6,10768,10978,Arbeitslose mit Anforderungsniveau Fachkraft,Anteil Arbeitslose Anforderungsniveau Fachkraft an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,,2010-2023,Labour market and employment
a_alo_helfer,16,TRUE,FALSE,0.922800718132855,0.992716817033289,1,1,6,10768,10978,Arbeitslose mit Anforderungsniveau Helfer,Anteil Arbeitslose Anforderungsniveau Helfer an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,,2010-2023,Labour market and employment
a_alo_spezialist,16,TRUE,FALSE,0.922800718132855,0.992716817033289,1,1,6,10768,10978,Arbeitslose mit Anforderungsniveau Spezialist,Anteil Arbeitslose Anforderungsniveau Spezialist an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,,2010-2023,Labour market and employment
a_alo_oAusb,16,TRUE,FALSE,0.922800718132855,0.992716817033289,1,1,6,10768,10978,Arbeitslose ohne Ausbildung,Anteil der Arbeitslosen ohne Berufsausbildung an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,,2009-2023,Labour market and employment
a_alo_ausländer,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Ausländische Arbeitslose,Anteil der ausländischen Arbeitslosen an den Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1995-2023,Labour market and employment
a_alo_ausländer_m,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Ausländische männliche Arbeitslose,Anteil der ausländischen männlichen Arbeitslosen an den männlichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1998-2023,Labour market and employment
a_alo_ausländer_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Ausländische weibliche Arbeitslose,Anteil der ausländischen weiblichen  Arbeitslosen an den weiblichen Arbeitslosen in %,Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1998-2023,Labour market and employment
a_aloLang,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Langzeitarbeitslose,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1995-2023,Labour market and employment
a_aloLang_m,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Männliche Langzeitarbeitslose,"Anteil der männlichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den männlichen Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1998-2023,Labour market and employment
a_aloLang_f,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Weibliche Langzeitarbeitslose,"Anteil der weiblichen Arbeitslosen, 1 Jahr und länger arbeitslos, an den weiblichen Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur,1998-2023,1998-2023,Labour market and employment
a_gen_wo12,16,TRUE,FALSE,0.922800718132855,0.989127901148242,1,1,9,10711,10978,Baugenehmigungen für Wohnungen in Ein- und Zweifamilienhäusern,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 1 und. 2 Wohnungen an den Baugenehmigungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2003-2023,2003-2023,Housing and land-use context
a_gen_wo3um,16,TRUE,FALSE,0.922800718132855,0.989127901148242,1,1,9,10711,10978,Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 3 u. mehr Wohnungen an den Baugenehmigungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2003-2023,1995-2023,Housing and land-use context
q_gen_wo_ew,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Baugenehmigungen für Wohnungenje Einwohner,Baugenehmigungen für neue Wohnungen je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2003-2023,1995-2023,Housing and land-use context
a_fert_wohn,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Fertiggestellte Wohnungen je Wohnung im Bestand,Fertiggestellte Wohnungen je 1.000 Wohnungen des Bestandes,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2011-2023,2011-2023,Housing and land-use context
a_fert_wo12,16,TRUE,FALSE,0.922800718132855,0.981392504941974,1,2,10,10562,10978,Neubauwohnungen in Ein- und Zweifamilienhäusern,Anteil neuer Wohnungen in Ein- und Zweifamilienhäusern an den neuen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2015-2023,2000-2023,Housing and land-use context
q_fert_wo12_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner,Fertiggestellte Wohnungen in neuen Ein- und Zweifamilienhäusern je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,1996-2023,2000-2023,Housing and land-use context
q_fert_wo3um_bev,16,TRUE,FALSE,0.922800718132855,0.992990777505361,1,1,5,10777,10978,Neubauwohnungen in Mehrfamilienhäusern je Einwohner,Fertiggestellte Wohnungen in neuen Mehrfamilienhäusern je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,1996-2023,1992-2023,Housing and land-use context
q_fert_wo_bev,16,TRUE,FALSE,0.922800718132855,0.992925943480465,1,1,5,10776,10978,Neubauwohnungen je Einwohner,Fertiggestellte Wohnungen in neuen Wohngebäuden je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2003-2023,1992-2023,Housing and land-use context
a_fert_wg12,16,TRUE,FALSE,0.922800718132855,0.988469405199753,1,1,8,10703,10978,Neue Ein- und Zweifamilienhäuser,Anteil neu errichteter Ein- und Zweifamilienhäuser an den neu errichteten Häusern in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,2003-2023,2000-2023,Housing and land-use context
a_wo_r5um,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,5- und mehr Raum-Wohnungen,Anteil der Wohnungen mit 5 und mehr Räumen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2011-2023,2011-2023,Housing and land-use context
a_wg_wo12,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Ein- und Zweifamilienhäuser,Anteil der Wohngebäude mit 1 und 2 Wohnungen an den Wohngebäuden in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2011-2023,2011-2023,Housing and land-use context
a_wo_r12,16,TRUE,FALSE,0.922800718132855,0.99286927983586,1,1,5,10775,10978,Ein- und Zweiraumwohnungen,Anteil der Wohnungen mit 1 und 2 Räumen an den Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Gebäude- und Wohnungsbestand,2011-2023,2011-2023,Housing and land-use context
