Kuerzel,Indikator,n_non_missing,n_missing,coverage_pct,min_year,max_year,official_name,main_dimension,sub_dimension,broad_dimension
q_ew_suv_qkm,Siedlungsdichte in km²,834,1,99.88,2023,2023,Einwohner je km² Siedlungs- und Verkehrsfläche,Flächennutzung,(no sub-dimension),Housing and land-use context
q_fert_wo12_bev,Neubauwohnungen in Ein- und Zweifamilienhäusern je Einwohner,834,1,99.88,2023,2023,Fertiggestellte Wohnungen in neuen Ein- und Zweifamilienhäusern je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
q_fert_wo3um_bev,Neubauwohnungen in Mehrfamilienhäusern je Einwohner,834,1,99.88,2023,2023,Fertiggestellte Wohnungen in neuen Mehrfamilienhäusern je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
q_fert_wo_bev,Neubauwohnungen je Einwohner,834,1,99.88,2023,2023,Fertiggestellte Wohnungen in neuen Wohngebäuden je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
q_freifläche_bev,Freifläche je Einwohner,834,1,99.88,2023,2023,Freifläche je Einwohner in m²,Flächennutzung,(no sub-dimension),Housing and land-use context
q_gen_wo_ew,Baugenehmigungen für Wohnungenje Einwohner,834,1,99.88,2023,2023,Baugenehmigungen für neue Wohnungen je 1.000 Einwohner,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
q_gest_bev,Steuerkraft,834,1,99.88,2023,2023,Gemeindliche Steuerkraft in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_gewst_bev,Gewerbesteuer,834,1,99.88,2023,2023,Gewerbesteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_hausarzt_bev,Hausärzte,834,1,99.88,2022,2022,Hausärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility"
q_internist_bev,Internisten,834,1,99.88,2022,2022,Internisten je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility"
q_kaufkraft,Kaufkraft,834,1,99.88,2023,2023,Kaufkraft je Einwohner in Euro,Privateinkommen und private Schulden,(no sub-dimension),"Income, deprivation and social transfers"
q_kinderarzt_kinder,Kinderärzte,834,1,99.88,2022,2022,Kinderärzte je 10.000 Kinder bis zu 15 Jahren,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility"
q_naturnah_bev,Naturnähere Fläche je Einwohner,834,1,99.88,2023,2023,Naturnähere Fläche je Einwohner in m²,Flächennutzung,(no sub-dimension),Housing and land-use context
q_newfBGu15_bev,Kinderarmut,834,1,99.88,2022,2022,Nicht erwerbsfähige SGBII-Leistungsberechtigte unter 15 Jahren je 100 Einwohner unter 15 Jahren,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
q_pendlersaldo,Pendlersaldo,834,1,99.88,2012,2023,Pendlersaldo je 100 SV Beschäftigte am Arbeitsort,Erreichbarkeit,Verkehr und Erreichbarkeit - Pendler,"Health, services and accessibility"
q_schlafg_bev,Schlafgelegenheiten in Beherbergungsbetrieben,834,1,99.88,2021,2023,Schlafgelegenheiten in Beherbergungsbetrieben je 1.000 Einwohner,Wirtschaft,Wirtschaft – Fremdenverkehr,Economic structure and tourism
q_stud,Studierende,834,1,99.88,2023,2023,Studierende an wissenschaftlichen Hochschulen und Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education
q_stud_1825,Studierende je 100 Einwohner 18 bis 25 Jahre,834,1,99.88,2022,2023,Studierende je 100 Einwohner von 18 bis unter 25 Jahren in %,Bildung,Bildung – Ausbildungsangebot,Education
q_stud_fh,Studierende an FH,834,1,99.88,2023,2023,Studierende an Fachhochschulen je 1.000 Einwohner,Bildung,Bildung – Ausbildungsangebot,Education
q_svw,Beschäftigtenquote,834,1,99.88,2023,2023,SV Beschäftigte am Wohnort je 100 Einwohner im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment
q_svw_f,Beschäftigtenquote Frauen,834,1,99.88,2023,2023,SV beschäftigte Frauen am Wohnort je 100 Frauen im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment
q_svw_m,Beschäftigtenquote Männer,834,1,99.88,2023,2023,SV beschäftigte Männer am Wohnort je 100 Männer im erwerbsfähigen Alter in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment
q_svw_ü55,Quote ältere Beschäftigte,834,1,99.88,2018,2020,SV Beschäftigte am Wohnort im Alter von 55 bis unter 65 Jahren je 100 Einwohner dieser Altersgruppe in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment
q_umsst,Umsatzsteuer,834,1,99.88,2023,2023,Umsatzsteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_unf_bev,Straßenverkehrsunfälle,834,1,99.88,2023,2023,Straßenverkehrsunfälle insgesamt je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,"Health, services and accessibility"
q_vunp_bev,Verunglückte im Straßenverkehr,834,1,99.88,2023,2023,Verunglückte im Straßenverkehr je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,"Health, services and accessibility"
q_vunpt_bev,Getötete im Straßenverkehr,834,1,99.88,2023,2023,Getötete im Straßenverkehr je 100.000 Einwohner,Erreichbarkeit,Verkehr und Erreichbarkeit - Straßenverkehr,"Health, services and accessibility"
q_ärzte_bev,Ärzte,834,1,99.88,2022,2022,Ärzte je 10.000 Einwohner,Medizinische Versorgung,(no sub-dimension),"Health, services and accessibility"
q_übern_bev,Gästeübernachtungen in Beherbergungsbetrieben,834,1,99.88,2021,2023,Gästeübernachtungen in Beherbergungsbetrieben je Einwohner,Wirtschaft,Wirtschaft – Fremdenverkehr,Economic structure and tourism
r_ewf_jungalt,Verhältnis junge zu alte Erwerbsfähige,834,1,99.88,2023,2023,Verhältnis junge (15-<20J) zu alte (60-<65J) Erwerbsfähige in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur,Labour market and employment
sva,Sozialversicherungspflichtig Beschäftigte am Arbeitsort,834,1,99.88,2022,2023,Zahl der sozialversicherungspflichtig Beschäftigten am Arbeitsort insgesamt,Absolutzahlen,(no sub-dimension),Basic population and structural counts
svw,Sozialversicherungspflichtig Beschäftigte am Wohnort,834,1,99.88,2023,2023,Zahl der sozialversicherungspflichtig Beschäftigten am Wohnort insgesamt,Absolutzahlen,(no sub-dimension),Basic population and structural counts
v_suvfl_vorjahr,Flächenneuinanspruchnahme,834,1,99.88,2023,2023,Änderung der Siedlungs- und Verkehrsfläche an der Gesamtfläche im Vergleich zum Vorjahr,Flächennutzung,(no sub-dimension),Housing and land-use context
xbev,Bevölkerung gesamt,834,1,99.88,2023,2023,Zahl der Einwohner insgesamt,Absolutzahlen,(no sub-dimension),Basic population and structural counts
xbevf,Bevölkerung weiblich,834,1,99.88,2023,2023,Zahl der weiblichen Einwohner,Absolutzahlen,(no sub-dimension),Basic population and structural counts
xbevm,Bevölkerung männlich,834,1,99.88,2023,2023,Zahl der männlichen Einwohner,Absolutzahlen,(no sub-dimension),Basic population and structural counts
a_gen_wo12,Baugenehmigungen für Wohnungen in Ein- und Zweifamilienhäusern,828,7,99.16,2004,2023,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 1 und. 2 Wohnungen an den Baugenehmigungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
a_gen_wo3um,Baugenehmigungen für Wohnungen in Mehrfamilienhäusern,828,7,99.16,2004,2023,Anteil der Baugenehmigungen für neue Wohnungen in Gebäuden mit 3 u. mehr Wohnungen an den Baugenehmigungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
a_fert_wg12,Neue Ein- und Zweifamilienhäuser,827,8,99.04,2003,2023,Anteil neu errichteter Ein- und Zweifamilienhäuser an den neu errichteten Häusern in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
a_ALGII_SGBII,ALG II-Leistungen an SGBII,825,10,98.8,2021,2022,Anteil Arbeitslosengeld II an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,"Income, deprivation and social transfers"
a_Unterkunft_SGBII,Leistungen für Unterkunft an SGBII,825,10,98.8,2021,2022,Anteil Leistungen für Unterkunft an SGBII-Leistungen in %,Sozialleistungen,Sozialleistungen - Transferleistungen,"Income, deprivation and social transfers"
a_ewfBG,Erwerbsfähige Leistungsberechtigte,823,12,98.56,2021,2022,Anteil der erwerbsfähigen SGBII- Leistungsberechtigten an den Personen an den Bedarfsgemeinschaften in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_ewfBG_55um_,Ältere erwerbsfähige Leistungsberechtigte,823,12,98.56,2021,2022,Anteil der erwerbsfähigen Leistungsberechtigten über 55 Jahren an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_ewfBG_allein,Alleinerziehende erwerbsfähige Leistungsberechtigte,823,12,98.56,2021,2022,Anteil der alleinerziehenden erwerbsfähigen SGBII-Leistungsberechtigten an den erwerbsfähigen  SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_ewfBG_f,Erwerbsfähige Leistungsberechtigte (Frauen),823,12,98.56,2021,2022,Anteil der weiblichen erwerbsfähigen SGBII-Leistungsberechtigten an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_ewfBG_u25_,Junge erwerbsfähige Leistungsberechtigte,823,12,98.56,2021,2022,Anteil der erwerbsfähigen Leistungsberechtigten unter 25 Jahren an den erwerbsfähigen SGBII-Leistungsberechtigten in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_BG1P,Einpersonen-Bedarfsgemeinschaften,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit 1 Person an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_BG5um,Große Bedarfsgemeinschaften,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit 5 und mehr Personen an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_BGKind,Bedarfsgemeinschaften mit Kindern,822,13,98.44,2021,2022,Anteil der Bedarfsgemeinschaften mit Kindern an den Bedarfsgemeinschaften insgesamt in %,Sozialleistungen,Sozialleistungen – Bedarfsgemeinschaften,"Income, deprivation and social transfers"
a_fert_wo12,Neubauwohnungen in Ein- und Zweifamilienhäusern,818,17,97.96,2015,2023,Anteil neuer Wohnungen in Ein- und Zweifamilienhäusern an den neuen Wohnungen in %,Bauen und Wohnen,Bauen und Wohnen - Baulandmarkt und Bautätigkeit,Housing and land-use context
m_übern,Verweildauer in Beherbergungsbetrieben,373,462,44.67,2009,2023,Durchschnittliche Zahl der Übernachtungen in Beherbergungsbetrieben,Wirtschaft,Wirtschaft – Fremdenverkehr,Economic structure and tourism
q_sach,Ausgaben für Sachinvestitionen,251,584,30.06,2019,2020,Ausgaben für Sachinvestitionen in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_investZ,Zuweisungen für Investitionsfördermaßnahmen,248,587,29.7,2019,2020,Zuweisungen für Investitionsfördermaßnahmen in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
q_schlüsselzuw,Schlüsselzuweisungen,245,590,29.34,2020,2020,Schlüsselzuweisungen in € je Einwohner,Öffentliche Finanzen,(no sub-dimension),"Income, deprivation and social transfers"
a_stud_1,Studierende im 1. Semester,33,802,3.95,2023,2023,Studierende im 1. Semester an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,Education
a_stud_a,Ausländische Studierende,33,802,3.95,2023,2023,Anteil der Ausländer an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,Education
a_stud_m,Männliche Studierende,33,802,3.95,2023,2023,Anteil der Männer an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,Education
a_stud_w,Weibliche Studierende,33,802,3.95,2023,2023,Anteil der Frauen an den Studierenden in %,Bildung,Bildung – Ausbildungsangebot,Education
