AGS,mun_name,municipality_area_m2,monotonicity_observed_ok,suspicious_any,monotone_adjustment_applied,flood_share_rp10_obs,flood_share_rp20_obs,flood_share_rp50_obs,flood_share_rp100_obs,flood_share_rp200_obs,flood_share_rp500_obs,flood_share_rp10_adj,flood_share_rp20_adj,flood_share_rp50_adj,flood_share_rp100_adj,flood_share_rp200_adj,flood_share_rp500_adj,onset_rp_any,onset_rp_1pct,onset_rp_5pct,slope_logrp,slope_norm_logrp,normalized_auc,realized_by_rp50,realized_by_rp100,late_growth_share,jump_rp10_rp20,jump_rp20_rp50,jump_rp50_rp100,jump_rp100_rp200,jump_rp200_rp500,max_jump_interval,max_jump_abs,max_jump_rel,low_signal_flag,exposure_curve_type
13076075,Kreien,25030179.93319736,TRUE,FALSE,FALSE,0.03018648133454308,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03018648133454308,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,10,10,NA,1.9417181964577753e-4,0.006335017585404172,0.9986586417391936,1,1,0,4.6407598879543224e-4,0,0,0,0,RP10-RP20,4.6407598879543224e-4,0.015140866245915437,FALSE,early exposure
13076079,Kuhstorf,15095458.439159146,TRUE,FALSE,FALSE,0.09144146988092491,0.14378854809252933,0.16079925639756584,0.16860981024601637,0.17866896879214209,0.20623326046538012,0.09144146988092491,0.14378854809252933,0.16079925639756584,0.16860981024601637,0.17866896879214209,0.20623326046538012,10,10,10,0.05816253548127551,0.28202306141127564,0.7832693661775519,0.7796960394977551,0.8175684652685811,0.18243153473141888,0.05234707821160442,0.01701070830503651,0.00781055384845053,0.010059158546125713,0.02756429167323804,RP10-RP20,0.05234707821160442,0.25382461632754816,FALSE,early exposure
14521150,Drebach,32969170.068404295,TRUE,FALSE,FALSE,0.02165242346559228,0.02435349633301854,0.0249663506386359,0.0249663506386359,0.0249663506386359,0.02617527788819447,0.02165242346559228,0.02435349633301854,0.0249663506386359,0.0249663506386359,0.0249663506386359,0.02617527788819447,10,10,NA,0.0020757863892387663,0.07930331811968983,0.9431906338300042,0.9538141579729391,0.9538141579729391,0.04618584202706091,0.002701072867426258,6.128543056173608e-4,0,0,0.0012089272495585703,RP10-RP20,0.002701072867426258,0.10319175517309374,FALSE,early exposure
15083245,"Gröningen, Stadt",59740558.31405812,TRUE,FALSE,FALSE,0.12078598616331504,0.130637816142518,0.14007841863227516,0.14088518993016547,0.14598320553014105,0.1506985697546465,0.12078598616331504,0.130637816142518,0.14007841863227516,0.14088518993016547,0.14598320553014105,0.1506985697546465,10,10,10,0.016665043996696504,0.11058528308416594,0.9225610384906997,0.9295271936577628,0.9348807368214691,0.06511926317853091,0.009851829979202947,0.009440602489757172,8.067712978903074e-4,0.0050980155999755805,0.004715364224505442,RP10-RP20,0.009851829979202947,0.06537440929428055,FALSE,early exposure
14628330,Reinhardtsdorf-Schöna,31705942.714922413,TRUE,FALSE,FALSE,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,10,10,NA,4.916057912674548e-4,0.03138148725700126,0.9774728551425375,0.9799174518801118,0.9799174518801118,0.020082548119888157,8.481535210987899e-4,0,0,0,3.146025833094205e-4,RP10-RP20,8.481535210987899e-4,0.05414158943433248,TRUE,early exposure
13076067,Karenz,6849905.868239488,TRUE,FALSE,FALSE,0,0.01509657928283289,0.02483420070507029,0.0938550834131369,0.1334118649627228,0.14209315964615946,0,0.01509657928283289,0.02483420070507029,0.0938550834131369,0.1334118649627228,0.14209315964615946,20,20,100,0.09522923836571338,0.6701887592819622,0.4850882259357467,0.1747740761547737,0.6605179562961013,0.3394820437038986,0.01509657928283289,0.009737621422237401,0.06902088270806661,0.039556781549585904,0.008681294683436647,RP50-RP100,0.06902088270806661,0.48574388014132763,FALSE,early exposure
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,TRUE,FALSE,FALSE,0.00257356679703016,0.00646484961074862,0.00779328609569017,0.00821451462056067,0.00821451462056067,0.00821451462056067,0.00257356679703016,0.00646484961074862,0.00779328609569017,0.00821451462056067,0.00821451462056067,0.00821451462056067,10,NA,NA,0.002856238286582895,0.3477062758442018,0.8848009934530207,0.9487214346400726,1,0,0.00389128281371846,0.0013284364849415501,4.2122852487049955e-4,0,0,RP10-RP20,0.00389128281371846,0.47370818526254765,TRUE,early exposure
16076094,094,62960697.0203359,TRUE,FALSE,FALSE,0.04709062973390127,0.04985172661301889,0.05820845734540478,0.05929532539288969,0.06072421138781549,0.063127315599288,0.04709062973390127,0.04985172661301889,0.05820845734540478,0.05929532539288969,0.06072421138781549,0.063127315599288,10,10,50,0.009704760565167638,0.15373314187427758,0.8996205226643356,0.9220803513156404,0.9392974313889322,0.06070256861106777,0.0027610968791176235,0.008356730732385888,0.0010868680474849096,0.0014288859949257993,0.0024031042114725093,RP20-RP50,0.008356730732385888,0.13237899715919715,FALSE,early exposure
13076069,Karstädt,19720158.522239417,TRUE,FALSE,FALSE,0,0,0,1.4119379359222705e-4,0.00333170104934248,0.00567033551976153,0,0,0,1.4119379359222705e-4,0.00333170104934248,0.00567033551976153,100,NA,NA,0.0032586444067704678,0.5746828199872576,0.24238896123780004,0,0.024900430159759762,0.9750995698402403,0,0,1.4119379359222705e-4,0.003190507255750253,0.00233863447041905,RP100-RP200,0.003190507255750253,0.562666396835091,TRUE,delayed jump
15084130,Elsteraue,80447255.68973264,TRUE,FALSE,FALSE,0.08520166347934406,0.09452995091871973,0.10273057605444544,0.10596321781214506,0.10857247752403244,0.11391525175205276,0.08520166347934406,0.09452995091871973,0.10273057605444544,0.10596321781214506,0.10857247752403244,0.11391525175205276,10,10,10,0.01602936743664566,0.14071309319962766,0.9004508939421,0.9018158189918957,0.930193421709535,0.06980657829046502,0.009328287439375665,0.0082006251357257115,0.0032326417576996197,0.002609259711887385,0.005342774228020319,RP10-RP20,0.009328287439375665,0.08188795877552514,FALSE,early exposure
