AGS,mun_name,return_period,rp_label,flood_area_m2_obs,flood_share_obs,flood_area_m2_adj,flood_share_adj,normalized_share,exposure_curve_type,monotone_adjustment_applied,low_signal_flag
13076075,Kreien,10,RP10,755573.059353717,0.03018648133454308,755573.0593537168,0.03018648133454308,0.9848591337540845,early exposure,FALSE,FALSE
13076075,Kreien,20,RP20,767188.9648559431,0.03065055732333851,767188.964855943,0.03065055732333851,1,early exposure,FALSE,FALSE
13076075,Kreien,50,RP50,767188.9648559431,0.03065055732333851,767188.964855943,0.03065055732333851,1,early exposure,FALSE,FALSE
13076075,Kreien,100,RP100,767188.9648559431,0.03065055732333851,767188.964855943,0.03065055732333851,1,early exposure,FALSE,FALSE
13076075,Kreien,200,RP200,767188.9648559431,0.03065055732333851,767188.964855943,0.03065055732333851,1,early exposure,FALSE,FALSE
13076075,Kreien,500,RP500,767188.9648559431,0.03065055732333851,767188.964855943,0.03065055732333851,1,early exposure,FALSE,FALSE
13076079,Kuhstorf,10,RP10,1380350.908203125,0.09144146988092491,1380350.9082031248,0.09144146988092491,0.4433885672688328,early exposure,FALSE,FALSE
13076079,Kuhstorf,20,RP20,2170554.0517578125,0.14378854809252933,2170554.0517578125,0.14378854809252933,0.697213183596381,early exposure,FALSE,FALSE
13076079,Kuhstorf,50,RP50,2427338.4919971507,0.16079925639756584,2427338.4919971507,0.16079925639756584,0.7796960394977551,early exposure,FALSE,FALSE
13076079,Kuhstorf,100,RP100,2545242.3830032498,0.16860981024601637,2545242.38300325,0.16860981024601637,0.8175684652685811,early exposure,FALSE,FALSE
13076079,Kuhstorf,200,RP200,2697089.992769203,0.17866896879214209,2697089.992769203,0.17866896879214209,0.8663441017659458,early exposure,FALSE,FALSE
13076079,Kuhstorf,500,RP500,3113185.6121274284,0.20623326046538012,3113185.6121274284,0.20623326046538012,1,early exposure,FALSE,FALSE
14521150,Drebach,10,RP10,713862.4316302198,0.02165242346559228,713862.4316302198,0.02165242346559228,0.8272089243170144,early exposure,FALSE,FALSE
