exposure_curve_type,municipalities,mean_rp500_share,mean_realized_by_rp100,mean_late_growth_share,mean_normalized_auc,mean_max_jump_rel
delayed jump,46,0.05242334681145576,0.15590527357253628,0.8440947264274637,0.26231181127197634,0.7258920230770373
early exposure,772,0.28713012066657595,0.9341495673076525,0.06585043269234743,0.8834267855832788,0.16769806660468417
gradual increase,17,0.10519561023224608,0.5560507116675333,0.44394928833246666,0.5171814493806204,0.38124182203572593
