variable,PC,loading,abs_loading
q_HH1,PC13,0.2689221147100099,0.2689221147100099
a_bb_50Mbits,PC13,0.22607112500457893,0.22607112500457893
q_alo_u25_einw,PC13,-0.2044424546944267,0.2044424546944267
m_G02_SUP_DIST,PC13,0.18632549616716412,0.18632549616716412
a_Minijobs,PC14,-0.6098201237292337,0.6098201237292337
q_svw,PC14,0.5340244674409466,0.5340244674409466
a_bev65um,PC14,0.2714431759788795,0.2714431759788795
q_alo_u25_einw,PC14,-0.25890086344603236,0.25890086344603236
m_G02_SUP_DIST,PC14,0.18845281924640955,0.18845281924640955
q_alo_ü55_einw,PC14,-0.14708037180521139,0.14708037180521139
a_bev_0006,PC14,0.14605553048915987,0.14605553048915987
q_kaufkraft,PC14,-0.13716221620659613,0.13716221620659613
q_alo_u25_einw,PC15,0.4691421425952349,0.4691421425952349
q_alo_ü55_einw,PC15,-0.45272198015250154,0.45272198015250154
a_bev65um,PC15,0.4394260302471002,0.4394260302471002
a_bev_0006,PC15,0.2822353121621988,0.2822353121621988
a_Minijobs,PC15,0.23660843969908324,0.23660843969908324
a_hheink_niedrig,PC15,0.21606163540448922,0.21606163540448922
q_HH1,PC15,-0.21584346937709273,0.21584346937709273
q_kaufkraft,PC15,-0.18877232159256072,0.18877232159256072
q_alo_ü55_einw,PC16,0.4990774933035331,0.4990774933035331
a_ALGII_SGBII,PC16,-0.4237395063676984,0.4237395063676984
a_bev65um,PC16,0.36602021815416297,0.36602021815416297
a_Minijobs,PC16,0.2985745270926969,0.2985745270926969
q_einkst_bev,PC16,0.2931747779585295,0.2931747779585295
a_bev_0006,PC16,0.22388550019393447,0.22388550019393447
q_newfBGu15_bev,PC16,-0.21677303282743493,0.21677303282743493
a_aloLang,PC16,-0.21562650722814877,0.21562650722814877
a_hheink_niedrig,PC17,-0.6006538542228548,0.6006538542228548
q_kaufkraft,PC17,0.5213609267274529,0.5213609267274529
q_alo_ü55_einw,PC17,-0.4216781721750992,0.4216781721750992
q_einkst_bev,PC17,0.24654796146415095,0.24654796146415095
a_hh_kind,PC17,-0.20249557761272483,0.20249557761272483
m_G02_SUP_DIST,PC17,-0.1695463173640741,0.1695463173640741
m_P01_PRIM_DIST,PC17,0.10373530543739509,0.10373530543739509
a_aloLang,PC17,0.08738675786518314,0.08738675786518314
q_newfBGu15_bev,PC18,0.5537407780710889,0.5537407780710889
m_P01_PRIM_DIST,PC18,0.5079017415701453,0.5079017415701453
m_G02_SUP_DIST,PC18,-0.36366012715938667,0.36366012715938667
m_OEV20_DIST,PC18,-0.2676560001453292,0.2676560001453292
a_bev65um,PC18,0.21248394418316852,0.21248394418316852
a_hh_kind,PC18,0.20218237692825208,0.20218237692825208
q_kaufkraft,PC18,-0.19806278522818022,0.19806278522818022
q_alo_u25_einw,PC18,-0.1645892795676166,0.1645892795676166
q_newfBGu15_bev,PC19,-0.5832761290896422,0.5832761290896422
m_G02_SUP_DIST,PC19,-0.4625030490468261,0.4625030490468261
m_P01_PRIM_DIST,PC19,0.3066954952115361,0.3066954952115361
q_alo_u25_einw,PC19,0.24788028320502156,0.24788028320502156
m_OEV20_DIST,PC19,-0.23799943947967178,0.23799943947967178
m_Q07_HA_DIST,PC19,0.1963939181150407,0.1963939181150407
m_Q01_APO_DIST,PC19,0.18039087588643643,0.18039087588643643
a_hheink_niedrig,PC19,0.1700698987338738,0.1700698987338738
m_Q01_APO_DIST,PC20,0.7880577102663756,0.7880577102663756
m_G02_SUP_DIST,PC20,-0.311635058145285,0.311635058145285
m_Q07_HA_DIST,PC20,-0.28121226844408814,0.28121226844408814
q_ärzte_bev,PC20,0.26468792805460883,0.26468792805460883
m_P01_PRIM_DIST,PC20,-0.24400655725358358,0.24400655725358358
q_newfBGu15_bev,PC20,0.14800691472784683,0.14800691472784683
a_hh_kind,PC20,-0.14217049076432964,0.14217049076432964
q_alo_u25_einw,PC20,-0.10000613061303064,0.10000613061303064
m_Q07_HA_DIST,PC21,0.7313028040886018,0.7313028040886018
m_P01_PRIM_DIST,PC21,-0.5506228066030323,0.5506228066030323
m_G02_SUP_DIST,PC21,-0.2638096129543929,0.2638096129543929
q_ärzte_bev,PC21,-0.16953293469764627,0.16953293469764627
q_einkst_bev,PC21,0.13645931975667136,0.13645931975667136
q_alo_u25_einw,PC21,-0.11011364816174844,0.11011364816174844
q_newfBGu15_bev,PC21,0.08262269905194117,0.08262269905194117
a_aloLang,PC21,-0.06502331363203741,0.06502331363203741
q_HH1,PC22,0.5743540832248953,0.5743540832248953
q_einkst_bev,PC22,0.5220974733168702,0.5220974733168702
a_hh_kind,PC22,0.37196336641384975,0.37196336641384975
q_kaufkraft,PC22,-0.36054238596898086,0.36054238596898086
q_alo_ü55_einw,PC22,-0.1708573462314793,0.1708573462314793
m_Q07_HA_DIST,PC22,-0.1628983048025998,0.1628983048025998
m_Q01_APO_DIST,PC22,0.12682115012422476,0.12682115012422476
a_Minijobs,PC22,0.12270027218686728,0.12270027218686728
q_einkst_bev,PC23,0.5168604450889498,0.5168604450889498
a_hh_kind,PC23,-0.4858993926441763,0.4858993926441763
q_HH1,PC23,-0.4413494388878159,0.4413494388878159
a_bev65um,PC23,-0.3858546773233298,0.3858546773233298
q_kaufkraft,PC23,-0.3491350119000783,0.3491350119000783
a_bev_0006,PC23,-0.12721385753194742,0.12721385753194742
m_P01_PRIM_DIST,PC23,0.05935864012298655,0.05935864012298655
m_Q01_APO_DIST,PC23,-0.0475553170904124,0.0475553170904124
