PC,alignment,variance,cumulative
PC1,-1,0.24214364716162665,0.24214364716162665
PC2,-1,0.16370458538808727,0.4058482325497139
PC3,1,0.08308444294530311,0.488932675495017
PC4,1,0.059170788737926035,0.5481034642329431
PC5,-1,0.05130837110439303,0.5994118353373361
PC6,-1,0.04510708298091715,0.6445189183182533
PC7,-1,0.042971099659309515,0.6874900179775628
PC8,-1,0.03855494803122111,0.7260449660087839
