AGS,mun_name,municipality_area_m2,flood_area_rp10_m2,flood_area_rp20_m2,flood_area_rp50_m2,flood_area_rp100_m2,flood_area_rp200_m2,flood_area_rp500_m2,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,has_inkar_vulnerability_record,vuln_dim_access_adaptive_capacity_z,vuln_dim_demographic_household_z,vuln_dim_deprivation_labour_z,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,vuln_index_main,vuln_index_main_z,vuln_index_pca23_70pct,vuln_index_pca23_70pct_z,vuln_index_pca23_kaiser,vuln_index_pca23_kaiser_z
13076075,Kreien,25030179.93319736,755573.059353717,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,767188.9648559431,0.03018648133454308,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,0.03065055732333851,TRUE,2.167040363295677,0.24507653815870645,-0.4186579485748669,3.38210692511887,-2.5362852318182143,0.5145208875995888,1.1323037142303278,-0.1633361910717525,-3.0427945194743584,0.0196415624490069,-0.03280626766286027,-0.8975393096063052,-2.302993767371125,-0.46991927663785815,-1.4138258470870568,-0.4608161111187167,-0.0909715390140153,0.35030923071677667,-0.017278735940812435,0.03120478135270879,-0.31056527824984614,-0.3284602053919646,-0.368263338451635,-0.22435671554768313,-0.5448243104133488,0.1331219165960123,0.6644863176265056,1.2440842695159144,-0.20377976871346448,-0.2196377725904053,-0.230209068251057,-0.22102932490210567
13076079,Kuhstorf,15095458.439159146,1380350.908203125,2170554.0517578125,2427338.4919971507,2545242.3830032498,2697089.992769203,3113185.6121274284,0.09144146988092491,0.14378854809252933,0.16079925639756584,0.16860981024601637,0.17866896879214209,0.20623326046538012,TRUE,0.9194591415645711,-1.8434051252995853,-1.0425563768818527,3.0376403479531446,-0.9145241578902047,-0.8031149489853101,-2.082972962085237,-0.38884238148298855,0.45801390576544077,0.11914107188823062,1.366109916630208,0.1907387844146371,-0.10764296393852907,0.717207877053104,1.042034246688788,0.3335144273206716,-0.3875455496617452,-0.6976926726690836,-0.6752292168462802,-0.17503963976837342,0.38040742744604267,-0.19763914211036346,0.03682363732034406,-0.017176722472200152,-0.6256209562029772,0.5593290642384653,-0.655500786872289,-1.2272611127886215,-1.1491158076776824,-1.2385392232024572,-1.2048053295897612,-1.1567628967042702
14521150,Drebach,32969170.068404295,713862.4316302198,802914.5623635487,823119.8601926013,823119.8601926013,823119.8601926013,862977.188283626,0.02165242346559228,0.02435349633301854,0.0249663506386359,0.0249663506386359,0.0249663506386359,0.02617527788819447,TRUE,-0.23642591665773618,0.236336171948862,0.16643182759296302,-0.547623361635568,-0.7199896015691821,-1.9060142077002913,0.1874749741672967,-0.7122818441440016,-0.1446173930064972,0.22039200627052735,0.035622026101401263,0.343326850239442,-0.6733088656343479,-0.2989370094434543,-0.19420553546890965,0.6461283899785917,-0.024364030358155236,0.17369459670102805,-0.3148687300185604,0.4936060198465065,-0.3763362040171318,-0.04994929819276917,0.3332701495024917,-0.018952614850813912,0.24042355322384187,0.3336999822949844,0.05544736096136294,0.10381130164515356,0.18652760463906629,0.20104305676759426,0.226946512264077,0.2178968655566245
15083245,"Gröningen, Stadt",59740558.31405812,7215822.24991054,7804376.073283299,8368362.93684248,8416559.904610204,8721118.202846523,9002816.694272613,0.12078598616331504,0.130637816142518,0.14007841863227516,0.14088518993016547,0.14598320553014105,0.1506985697546465,TRUE,-0.6008566755020309,-0.13439697778087778,1.1298492679239196,-1.6708325991221935,-0.8136890938568547,-0.2046542944365873,0.48237978100333817,-1.025946137667777,1.9998665743580257,0.006200620322486121,0.5236632963766567,0.013293195140072806,-0.13211177822062728,-0.5887375043889367,-0.26961523547115057,-0.3901537424079004,1.1975105924508418,0.034475176457232526,-0.30127672506624475,-0.58446995956055,-0.13748212957018108,0.4757775493506443,0.17561244029228876,0.1496436493321791,-0.3157177595895273,0.24111521703166433,0.13153187154700363,0.24626049926221663,0.6766806205540395,0.7293394491116737,0.7940136468542729,0.762351812031423
14628330,Reinhardtsdorf-Schöna,31705942.714922413,459822.260527881,486713.767481299,486713.767481299,486713.767481299,486713.767481299,496688.538965674,0.01450271530048105,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01535086882157984,0.01566547140488926,TRUE,0.2679162766102787,0.3344717246525439,-0.36280913810582344,0.25423698274094864,-1.3940735948841187,-1.3298548764037617,-1.4377059753586472,0.06349135372528983,0.6302561414672825,0.11192984648370131,0.852769030362037,-0.2624406051369815,0.4245351184130805,1.4839451156650874,-0.8744509634907492,0.9127941589279284,0.3181894903323533,0.5589899887051097,0.732478991054965,0.48624361046637077,0.5757003481915464,0.43536316924309115,0.4631414934361035,-0.13761491232077852,0.12645840849412013,-0.011499982170640171,0.07985962105233307,0.14951714683243997,-0.13536482088767626,-0.1458988197629843,-0.0940123413319464,-0.09026353520707164
13076067,Karenz,6849905.868239488,0,103410.14701981976,170111.93714269827,642898.4866357532,913858.7167009292,973324.768096918,0,0.01509657928283289,0.02483420070507029,0.0938550834131369,0.1334118649627228,0.14209315964615946,TRUE,1.5659435107163282,3.4757938190076856,0.33911630215393174,2.2352459797620927,-1.5371068552165637,-0.8965191911448983,-1.727477320018596,-6.807602887649182,0.16966417070557732,0.7459305404854181,-2.9627017632424972,3.1190835816650795,0.6730154954033709,-1.0497981559650709,-0.38103896845651747,-0.0614107547627347,-2.2978281986208615,1.5191876141662772,-0.6887696897397226,0.8409976738432242,0.2210823356130853,0.5294382544805513,0.04077157106169393,0.8611325622595758,-0.19601613810348717,-0.8503367678842144,1.7936178772926485,3.358100426556174,-0.05855677286910304,-0.0631136213582437,-0.19345934392799785,-0.18574502085980843
16076093,Mohlsdorf-Teichwolframsdorf,51123623.55585133,131570.06012720842,330506.5378451049,398421.02461911464,419955.7531555809,419955.7531555809,419955.7531555809,0.00257356679703016,0.00646484961074862,0.00779328609569017,0.00821451462056067,0.00821451462056067,0.00821451462056067,TRUE,-0.30725048419596024,-0.06643488432434652,0.007562851745528985,-0.3307838214386715,-0.9445173165305266,-1.4962517836483782,-1.208367837734861,-0.1816524483044769,1.0292750359987828,0.2618054999766431,0.8750043919774537,0.042003028326454625,0.06279095266526533,-0.4275632270443792,-0.5951597542348993,0.5739537245195738,0.34841486587611575,-0.0935646787652154,0.2742697615571696,-0.3617181659554559,-0.33438013945706474,0.1278013178156763,0.9880969744414563,0.06961562742667293,0.11742412536973393,0.13258512322569496,-0.12204083892492591,-0.22849091684437942,-0.05948588819828393,-0.06411503981439982,0.0027871787229995057,0.0026760380735925027
NA,NA,62960697.0203359,2964858.871172979,3138699.455222898,3664845.046945176,3733275.0167839574,3823238.6749870824,3974539.791153896,0.04709062973390127,0.04985172661301889,0.05820845734540478,0.05929532539288969,0.06072421138781549,0.063127315599288,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13076069,Karstädt,19720158.522239417,0,0,0,2784.3639919950692,65701.67284174523,111819.9153239823,0,0,0,1.4119379359222705e-4,0.00333170104934248,0.00567033551976153,TRUE,0.4124394091446898,-0.8708848098225809,1.2583690917041988,1.7877771718866584,-1.4291515226628555,-1.9083634475805495,2.7630641647212473,0.944156100918302,1.069224506852607,0.2825025794207883,-0.11838174338975348,0.2758954655826546,-0.34855094854239255,-0.08891635716190359,0.04238669265644158,0.19672379225726724,-1.3370385437573364,0.04109299963342569,0.05663769224990301,0.2998974007653583,0.652225958170451,-0.3787073708513226,-0.03936092927832529,0.47721093223003136,0.2750791529299744,0.15210125961053683,0.2666412303421026,0.4992189477397711,-0.4107883449558844,-0.4427556163294832,-0.45099617274027526,-0.4330123932629173
15084130,Elsteraue,80447255.68973264,6854240.007113347,7604675.131896122,8264392.919005497,8524450.077040466,8734357.860243589,9164169.384657651,0.08520166347934406,0.09452995091871973,0.10273057605444544,0.10596321781214506,0.10857247752403244,0.11391525175205276,TRUE,-0.1509324516627891,-0.34905397471131794,-0.10132780753099369,-0.7183238134485563,-0.9581413088012727,-1.4624714393998128,-0.6068964538139842,0.13365910499405825,-0.39262316103810824,0.3196782997769416,0.5376574190984285,0.21144281099921935,-0.7875658943171648,0.7076122684154366,-0.42235729178740955,0.08417906734564817,0.17126322394219048,0.46202520605023684,-0.31565131105646366,-0.3828199943375543,0.11545814532354974,0.41107937880911566,0.1359858357811439,-0.05921767057664859,-0.2916876763938889,0.3735193479094846,-0.2004380779683669,-0.37527011948590777,0.2062633674728821,0.2223146433267432,0.2858298745318033,0.2744322136594545
14628320,Rathmannsdorf,4185752.195803851,88984.58173638361,94958.3078374834,104934.3996343584,145431.19684474514,165383.3980166201,176632.77143833347,0.02125892254815973,0.02268607968065514,0.02506942473554776,0.03474433985617628,0.03951103416547551,0.04219857344049296,TRUE,-0.5117182665179644,0.5765716963156577,0.29747116631955334,-1.82673742209473,-0.9260998656139285,-1.1342999819718222,-0.6702271406260195,0.3172414942527917,0.571311009392218,0.6849110022126533,0.27646358372527735,0.13333084700049055,-0.5441770714776687,1.4398356578840703,-0.5277062581329321,-0.2999431077745881,0.12219072089926773,0.9609000801877305,0.7664724717815585,0.6290328993519906,0.13225053372918325,0.21885958581967205,0.15371270527767797,-0.12043511709667357,0.4443215514983057,-0.508519028370589,0.12077486537241557,0.22612069831538562,0.5204930656797243,0.560997484276233,0.6485330008726542,0.6226723058680433
