inkar_code,state,municipalities_with_value,municipalities_total,state_coverage_pct
q_kaufkraft,03,941,964,97.6141078838174
q_kaufkraft,04,2,2,100
q_kaufkraft,05,396,396,100
q_kaufkraft,06,421,425,99.0588235294118
q_kaufkraft,07,2301,2301,100
q_kaufkraft,08,1101,1103,99.818676337262
q_kaufkraft,09,2056,2228,92.2800718132855
q_kaufkraft,10,52,52,100
q_kaufkraft,11,1,1,100
q_kaufkraft,12,413,413,100
q_kaufkraft,13,726,726,100
q_kaufkraft,14,418,418,100
q_kaufkraft,15,218,218,100
q_kaufkraft,16,624,624,100
q_kinderarzt_kinder,01,1103,1106,99.7287522603978
q_kinderarzt_kinder,02,1,1,100
q_kinderarzt_kinder,03,941,964,97.6141078838174
q_kinderarzt_kinder,04,2,2,100
q_kinderarzt_kinder,05,396,396,100
q_kinderarzt_kinder,06,421,425,99.0588235294118
q_kinderarzt_kinder,07,2301,2301,100
q_kinderarzt_kinder,08,1101,1103,99.818676337262
q_kinderarzt_kinder,09,2056,2228,92.2800718132855
q_kinderarzt_kinder,10,52,52,100
q_kinderarzt_kinder,11,1,1,100
q_kinderarzt_kinder,12,413,413,100
q_kinderarzt_kinder,13,726,726,100
q_kinderarzt_kinder,14,418,418,100
q_kinderarzt_kinder,15,218,218,100
q_kinderarzt_kinder,16,624,624,100
q_stud,01,1104,1106,99.8191681735986
q_stud,02,1,1,100
q_stud,03,941,964,97.6141078838174
q_stud,04,2,2,100
q_stud,05,396,396,100
q_stud,06,421,425,99.0588235294118
q_stud,07,2301,2301,100
q_stud,08,1101,1103,99.818676337262
q_stud,09,2056,2228,92.2800718132855
q_stud,10,52,52,100
q_stud,11,1,1,100
q_stud,12,413,413,100
q_stud,13,726,726,100
q_stud,14,418,418,100
q_stud,15,218,218,100
q_stud,16,624,624,100
q_stud_1825,01,1104,1106,99.8191681735986
q_stud_1825,02,1,1,100
q_stud_1825,03,941,964,97.6141078838174
q_stud_1825,04,2,2,100
q_stud_1825,05,396,396,100
q_stud_1825,06,421,425,99.0588235294118
q_stud_1825,07,2301,2301,100
q_stud_1825,08,1101,1103,99.818676337262
q_stud_1825,09,2056,2228,92.2800718132855
q_stud_1825,10,52,52,100
q_stud_1825,11,1,1,100
q_stud_1825,12,413,413,100
q_stud_1825,13,726,726,100
q_stud_1825,14,418,418,100
q_stud_1825,15,218,218,100
q_stud_1825,16,624,624,100
q_stud_fh,01,1104,1106,99.8191681735986
q_stud_fh,02,1,1,100
q_stud_fh,03,941,964,97.6141078838174
q_stud_fh,04,2,2,100
q_stud_fh,05,396,396,100
q_stud_fh,06,421,425,99.0588235294118
q_stud_fh,07,2301,2301,100
q_stud_fh,08,1102,1103,99.909338168631
q_stud_fh,09,2056,2228,92.2800718132855
q_stud_fh,10,52,52,100
q_stud_fh,11,1,1,100
q_stud_fh,12,413,413,100
q_stud_fh,13,726,726,100
q_stud_fh,14,418,418,100
q_stud_fh,15,218,218,100
q_stud_fh,16,624,624,100
q_ärzte_bev,01,1104,1106,99.8191681735986
q_ärzte_bev,02,1,1,100
q_ärzte_bev,03,941,964,97.6141078838174
q_ärzte_bev,04,2,2,100
q_ärzte_bev,05,396,396,100
q_ärzte_bev,06,421,425,99.0588235294118
q_ärzte_bev,07,2301,2301,100
q_ärzte_bev,08,1101,1103,99.818676337262
q_ärzte_bev,09,2056,2228,92.2800718132855
q_ärzte_bev,10,52,52,100
q_ärzte_bev,11,1,1,100
q_ärzte_bev,12,413,413,100
q_ärzte_bev,13,726,726,100
q_ärzte_bev,14,418,418,100
q_ärzte_bev,15,218,218,100
q_ärzte_bev,16,624,624,100
r_ewf_jungalt,01,1104,1106,99.8191681735986
r_ewf_jungalt,02,1,1,100
r_ewf_jungalt,03,942,964,97.7178423236515
r_ewf_jungalt,04,2,2,100
r_ewf_jungalt,05,396,396,100
r_ewf_jungalt,06,421,425,99.0588235294118
r_ewf_jungalt,07,2301,2301,100
r_ewf_jungalt,08,1102,1103,99.909338168631
r_ewf_jungalt,09,2056,2228,92.2800718132855
r_ewf_jungalt,10,52,52,100
r_ewf_jungalt,11,1,1,100
r_ewf_jungalt,12,413,413,100
r_ewf_jungalt,13,726,726,100
r_ewf_jungalt,14,418,418,100
r_ewf_jungalt,15,218,218,100
r_ewf_jungalt,16,624,624,100
