inkar_code,municipalities_with_value,municipalities_total,coverage_pct,missing_municipalities,states_with_any_data,present_in_all_16_states,full_coverage_all_16_states,min_state_coverage_pct,mean_state_coverage_pct,max_state_coverage_pct,project_name,analysis_name,official_short,official_name,main_dimension,sub_dimension
q_einkst_bev,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,income_tax_per_capita,exposure_income_tax_per_capita,Einkommensteuer,Einkommensteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension)
i_wans,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,migration_balance,exposure_migration_balance,Gesamtwanderungssaldo,Gesamtwanderungssaldo je 1.000 Einwohner,Bevölkerung,Bevölkerung – Wanderungen
i_saldo_nat,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,natural_pop_change,exposure_natural_pop_change,Natürlicher Saldo,Natürlicher Saldo je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen
q_abhg_alt,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,old_age_dependency,exposure_old_age_dependency,Abhängigenquote Alte,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
a_bev0003,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_0_3,exposure_share_age_0_3,Einwohner unter 3 Jahren,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev1825,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_18_25,exposure_share_age_18_25,Einwohner von 18 bis unter 25 Jahren,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev2530,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_25_30,exposure_share_age_25_30,Einwohner von 25 bis unter 30 Jahren,Anteil der Einwohner von 25 bis unter 30 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev3050,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_30_50,exposure_share_age_30_50,Einwohner von 30 bis unter 50 Jahren,Anteil der Einwohner von 30 bis unter 50 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev0306,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_3_6,exposure_share_age_3_6,Einwohner von 3 bis unter 6 Jahren,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev5065,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_50_65,exposure_share_age_50_65,Einwohner von 50 bis unter 65 Jahren,Anteil der Einwohner von 50 bis unter 65 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev6575,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_65_75,exposure_share_age_65_75,Einwohner von 65 bis unter 75 Jahren,Anteil der Einwohner von 65 bis unter 75 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev65um,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_65plus,exposure_share_age_65plus,Einwohner 65 Jahre und älter,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev0618,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_6_18,exposure_share_age_6_18,Einwohner von 6 bis unter 18 Jahren,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev75um,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_age_75plus,exposure_share_age_75plus,Einwohner 75 Jahre und älter,Anteil der Einwohner 75 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_aloLang,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,share_longterm_unemp,exposure_share_longterm_unemp,Langzeitarbeitslose,"Anteil der Arbeitslosen, 1 Jahr und länger arbeitslos, an den Arbeitslosen in %",Arbeitslosigkeit,Arbeitslosigkeit - Struktur
d_steuereinnahme,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,tax_revenue_total,exposure_tax_revenue_total,Steuereinnahmen,Steuereinnahmen der Gemeinden und Gemeindeverbände in Euro je Einwohner,Öffentliche Finanzen,(no sub-dimension)
q_gewst_bev,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,trade_tax_per_capita,exposure_trade_tax_per_capita,Gewerbesteuer,Gewerbesteuer in € je Einwohner,Öffentliche Finanzen,(no sub-dimension)
q_alo_ü55_einw,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,unemp_55plus_per_1000,exposure_unemp_55plus_per_1000,Ältere Arbeitslose,Anteil der Arbeitslosen 55 Jahre und älter an Einwohnern von 55 bis unter 65 Jahren in %,Arbeitslosigkeit,Arbeitslosigkeit - Altersgruppen
r_ewf_jungalt,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,young_old_ratio,exposure_young_old_ratio,Verhältnis junge zu alte Erwerbsfähige,Verhältnis junge (15-<20J) zu alte (60-<65J) Erwerbsfähige in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur
