inkar_code,project_name,analysis_name,municipalities_with_value,municipalities_total,coverage_pct,missing_municipalities,states_with_any_data,present_in_all_16_states,full_coverage_all_16_states,min_state_coverage_pct,mean_state_coverage_pct,max_state_coverage_pct,official_short,official_name,main_dimension,sub_dimension
a_bev0003,share_age_0_3,exposure_share_age_0_3,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner unter 3 Jahren,Anteil der Einwohner unter 3 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev0306,share_age_3_6,exposure_share_age_3_6,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 3 bis unter 6 Jahren,Anteil der Einwohner von 3 bis unter 6 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev0618,share_age_6_18,exposure_share_age_6_18,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 6 bis unter 18 Jahren,Anteil der Einwohner von 6 bis unter 18 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev1825,share_age_18_25,exposure_share_age_18_25,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 18 bis unter 25 Jahren,Anteil der Einwohner von 18 bis unter 25 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev2530,share_age_25_30,exposure_share_age_25_30,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 25 bis unter 30 Jahren,Anteil der Einwohner von 25 bis unter 30 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev3050,share_age_30_50,exposure_share_age_30_50,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 30 bis unter 50 Jahren,Anteil der Einwohner von 30 bis unter 50 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev5065,share_age_50_65,exposure_share_age_50_65,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 50 bis unter 65 Jahren,Anteil der Einwohner von 50 bis unter 65 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev6575,share_age_65_75,exposure_share_age_65_75,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner von 65 bis unter 75 Jahren,Anteil der Einwohner von 65 bis unter 75 Jahren an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev65um,share_age_65plus,exposure_share_age_65plus,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner 65 Jahre und älter,Anteil der Einwohner 65 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
a_bev75um,share_age_75plus,exposure_share_age_75plus,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Einwohner 75 Jahre und älter,Anteil der Einwohner 75 Jahre und älter an den Einwohnern in %,Bevölkerung,Bevölkerung – Altersstruktur
i_saldo_nat,natural_pop_change,exposure_natural_pop_change,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Natürlicher Saldo,Natürlicher Saldo je 1.000 Einwohner,Bevölkerung,Bevölkerung - Natürliche Bevölkerungsbewegungen
i_wans,migration_balance,exposure_migration_balance,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Gesamtwanderungssaldo,Gesamtwanderungssaldo je 1.000 Einwohner,Bevölkerung,Bevölkerung – Wanderungen
q_abhg_alt,old_age_dependency,exposure_old_age_dependency,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Abhängigenquote Alte,Einwohner 65 Jahre und älter je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
q_abhg_jung,youth_dependency,exposure_youth_dependency,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Abhängigenquote Junge,Einwohner unter 15 Jahren je 100 Einwohner im erwerbsfähigen Alter,Bevölkerung,Bevölkerung – Bevölkerungsstruktur
r_ewf_jungalt,young_old_ratio,exposure_young_old_ratio,10777,10978,98.1690654035343,201,16,TRUE,FALSE,92.2800718132855,99.2990777505361,100,Verhältnis junge zu alte Erwerbsfähige,Verhältnis junge (15-<20J) zu alte (60-<65J) Erwerbsfähige in %,Beschäftigung und Erwerbstätigkeit,Beschäftigung und Erwerbstätigkeit – Struktur
