river_context_class,n,share,mean_distance_to_elbe_m,median_distance_to_elbe_m,mean_flood_share_rp100,median_flood_share_rp100,mean_flood_share_rp500,median_flood_share_rp500
only minor/other WFD water bodies,339,0.6108108108108108,29322.88320559578,17071.304626443558,0.3040929997332798,0.12065824870585153,0.3216104067835567,0.1330009330701384
intersects major WFD river/tributary,138,0.24864864864864866,67100.08335823395,70189.59065032494,0.12425364798665708,0.07921498809645768,0.1387821885840098,0.08491728896664656
directly on/within 1 km of Elbe main stem,62,0.11171171171171171,198.38420004791806,0,0.5159899818789734,0.47676312996577985,0.5355234627762289,0.49341930048707994
no WFD river body intersects municipality,16,0.02882882882882883,75149.09502639012,69845.93546913247,0.2476147627891155,0.07050965386288746,0.24833549247664574,0.0712773161707493
