AGS,municipality_name,protection_available,loss_portfolio_status,river_context_class,distance_to_elbe_m,intersects_elbe_main,near_elbe_1km,near_elbe_5km,intersects_major_wfd_river,intersects_any_wfd_river,major_wfd_names,any_wfd_names,flood_share_rp10,flood_share_rp20,flood_share_rp50,flood_share_rp100,flood_share_rp200,flood_share_rp500,protection_return_period,annual_loss_probability,n_nonzero_years
02000000,"Hamburg, Freie und Hansestadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Brookwetterung; Wedeler Au; Mühlenau / Düpenau; Bille bei Reinbek; Elbe; Osterbek; Schleusengraben; Tarpenbek,0.3408099500184498,0.3793997248511709,0.3889765652169426,0.3985524348100749,0.404643182500326,0.4256298939210757,NA,NA,NA
03352011,"Cuxhaven, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,574.3077284482949,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Altenbrucher Kanal; Landwehrkanal,0.00145158037508313,0.0250045220914193,0.10058053266179565,0.1624303542875587,0.2092299037712568,0.24307248336335935,NA,NA,NA
03352046,"Otterndorf, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,618.1049170495396,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Schiffahrtsweg Elbe-Weser (Hadelner Kanal); Medem,0.41224377741132023,0.47974362439093265,0.5527061578703445,0.5792205273291272,0.6027279905599032,0.6483517834068193,NA,NA,NA
03353007,Drage,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Ilmenau,Elbe; Ilmenau; Roddau; Neetze; Schleusengraben,0.8613111275508547,0.9235267022167112,0.9271131635572524,0.9277708983459096,0.9297441233817878,0.9616316138517832,NA,NA,NA
03353023,Marschacht,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Ilmenau,Elbe; Ilmenau; Neetze,0.8749378445029204,0.9438690249760668,0.9477271431285924,0.9503987166241408,0.9548594679880684,0.9736078866021284,NA,NA,NA
03353031,Seevetal,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Seeve; Ashauser Mühlengraben; Graben 100; Karoxbosteler Mühlenbach; Engelbek; Östlicher Bahnhofskanal,0.18760202023081535,0.199004101188077,0.199004101188077,0.199004101188077,0.199004101188077,0.20738012927734625,NA,NA,NA
03353032,Stelle,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Seeve; Ashauser Mühlengraben; Schöpfwerkszubringer Hoopte,0.382310779732591,0.41057125044933246,0.41057125044933246,0.41057125044933246,0.41083104058428377,0.4319234677420569,NA,NA,NA
03353033,Tespe,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Neetze,0.6695285056760707,0.7761344071912755,0.8308178546187653,0.8444730834088445,0.8602547724962696,0.865755107740294,NA,NA,NA
03353040,"Winsen (Luhe), Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Ilmenau,Elbe; Ilmenau; Roddau; Neetze; Schleusengraben; Ashauser Mühlengraben; Luhe; Schöpfwerkszubringer Hoopte,0.3806446070089425,0.4162046908029588,0.4251098790719768,0.4251098790719768,0.4259278261141565,0.46466113285190586,NA,NA,NA
03354019,Neu Darchau,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Kateminer Mühlenbach,0.11249176992885215,0.11731161770188243,0.129513393347887,0.13214234863696458,0.13301867788815644,0.13915308029662998,NA,NA,NA
03355003,"Artlenburg, Flecken",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Elbe-Seitenkanal; Neetze,0.7515106000649517,0.7677821469542411,0.8649183754301943,0.8759466136788292,0.8819003946423506,0.8973716407558983,NA,NA,NA
03355009,"Bleckede, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Forst Graben; Sumter Kanal; Neetze; Brummelbach,0.437200623642252,0.467813769202122,0.4926181978609383,0.5064598526562996,0.5124215813144849,0.522177468122254,NA,NA,NA
03355018,Hittbergen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Neetze,0.8890210643837955,0.8898759675733838,0.8898759675733838,0.9093887838500538,0.9294867238145278,0.9387668369471648,NA,NA,NA
03355019,Hohnstorf (Elbe),FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,Elbe; Neetze,0.808313624538523,0.8290129538653225,0.88878421330497,0.893670576183641,0.9120008081166832,0.9354445363742364,NA,NA,NA
03359013,Drochtersen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,727.797808810528,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Ruthenstrom; Wischhafener Süderelbe; Große Rönne,0.7922759792667963,0.815277259095789,0.8946537635240605,0.8976265669925696,0.9024089860702844,0.9166580393062256,NA,NA,NA
03359020,Grünendeich,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,378.3430348429761,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Aue,0.8567023468277158,0.8567023468277158,0.8567023468277158,0.9067730862982756,0.9852599743441308,0.9852599743441308,NA,NA,NA
03359026,Hollern-Twielenfleth,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,467.68882626595763,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Schöpfwerkskanal Hollern-Steinkirchener Moor,0.9632486109780074,0.9632486109780074,0.9647921039372976,0.9653568165805972,0.9774801110004552,0.9867431517781036,NA,NA,NA
03359028,Jork,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,353.4924505793594,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Aue; Landwettern; Borsteler Binnenelbe; Este,0.935655627583174,0.935655627583174,0.9388966178713688,0.9586393937365374,0.9587129968134488,0.9587129968134488,NA,NA,NA
03359038,"Stade, Hansestadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,354.25503038729624,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Harschenflether Wettern; Randkanal; Schwinge; Bützflether Süderelbe; Steinbeck; Kattenbeck; Heidbeck; Hörne-Götzdorfer Kanal,0.2973234001354542,0.34696054218786865,0.35159856537626,0.35739785538653046,0.361665175311617,0.3721681126459553,NA,NA,NA
03359039,Steinkirchen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,380.4896790027682,FALSE,TRUE,TRUE,FALSE,TRUE,NA,Aue,0.9161019360198188,0.9161019360198188,0.9161019360198188,0.9235319409924044,0.9486081080385576,0.9486081080385576,NA,NA,NA
12062341,"Mühlberg/Elbe, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Dahle; Alte Elbe bei Mühlberg; Lönnewitzer Landlache; Stehlaer Graben; Scheidelache,0.38914683135927425,0.4668179002630653,0.5279631942278525,0.5586191536516651,0.5648219795762254,0.5740501689451512,NA,NA,NA
13076014,"Boizenburg/ Elbe, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe; Sude,SBOI-0800; SBOI-0900; Elbe; Sumter Kanal; Sude; SBOI-0600,0.1894777395938892,0.2226990895999884,0.23076101769124657,0.23304829698404936,0.24001243347058496,0.25387173656285456,NA,NA,NA
13076106,Nostorf,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe,"Schwanheider Mühlbach, Randkanal; Elbe; SBOI-0300",0.2404376531960308,0.2404376531960308,0.2404376531960308,0.2794869858076765,0.279987240376333,0.279987240376333,NA,NA,NA
13076136,Teldau,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,389.22713919369926,FALSE,TRUE,TRUE,TRUE,TRUE,Sude,Sumter Kanal; Sude,0.7059042201388019,0.7373160597002247,0.7690802267230864,0.8168639541776083,0.8292285600798665,0.8295891974148645,NA,NA,NA
14627010,"Coswig, Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Wilde Sau; Lockwitzbach; Langer Graben,0.1145980229596988,0.1630625226965437,0.2586550666276238,0.33007299479940544,0.3862274231712169,0.4250077613563862,NA,NA,NA
14627020,Diera-Zehren,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Bierlichtbach/Jessener Dorfbach; NieschÃ¼tzbach; Ketzerbach; Jahnabach,0.08183993261662922,0.08460568638664,0.08967629282787111,0.09082870132108094,0.09659070246670068,0.09820407677826053,NA,NA,NA
14627100,Klipphausen,FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Triebisch; Elbe/Labe; Kleine Triebisch; Wilde Sau; KÃ¤bschÃ¼tzer Bach; TÃ¤nnichtbach,0.01911185489062573,0.01994044169266323,0.02104424912413402,0.02184528060796441,0.02202328919281156,0.02264856117791801,NA,NA,NA
14628210,"Königstein/Sächs. Schw., Stadt",FALSE,not_in_damage_loss_portfolio,directly on/within 1 km of Elbe main stem,0,TRUE,TRUE,TRUE,TRUE,TRUE,Elbe/Labe,Elbe/Labe; Cunnersdorfer Bach/Fuchsbach/LiÅ¡cÃ­ potok; Biela/OstrovskÃ¡ BÃ¬lÃ¡,0.0557604372911934,0.05832611162703576,0.06271036854496535,0.0656351032698398,0.06806994932257274,0.07246024060872029,NA,NA,NA
