AGS,municipality_name,protection_return_period,annual_loss_probability,n_nonzero_years
14730140,Jesewitz,454.54545454545456,0.0022,11
14730160,Laußig,87.71929824561404,0.0114,57
14730180,Löbnitz,106.38297872340424,0.0094,47
14730270,Schkeuditz,1250,8e-4,4
14730360,Zschepplin,87.71929824561404,0.0114,57
15001000,Dessau-Roßlau,62.5,0.016,80
15002000,Halle (Saale),18.181818181818183,0.055,275
15081240,Kalbe (Milde),10.869565217391305,0.092,460
15082005,Aken (Elbe),5000,2e-4,1
15082015,Bitterfeld-Wolfen,2500,4e-4,2
15082241,Muldestausee,104.16666666666669,0.0096,48
15082301,Raguhn-Jeßnitz,45.45454545454545,0.022,110
15082430,Zerbst/Anhalt,161.29032258064515,0.0062,31
15083025,Am Großen Bruch,1.4363688595231254,0.6962,3481
15083030,Angern,40.32258064516129,0.0248,124
15083245,Gröningen,1.3164823591363877,0.7596,3798
15083320,Hötensleben,16.44736842105263,0.0608,304
15083361,Loitsche-Heinrichsberg,56.81818181818182,0.0176,88
15083415,Oschersleben (Bode),1.1944577161968466,0.8372,4186
15083440,Rogätz,76.92307692307692,0.013,65
15083565,Wolmirstedt,50.505050505050505,0.0198,99
15083580,Zielitz,166.66666666666666,0.006,30
15084025,Balgstädt,2500,4e-4,2
15084130,Elsteraue,94.33962264150944,0.0106,53
15084135,Freyburg (Unstrut),18.939393939393938,0.0528,264
15084207,Gutenborn,33.333333333333336,0.03,150
15084246,Kaiserpfalz,79.36507936507937,0.0126,63
15084250,Karsdorf,384.61538461538464,0.0026,13
15084275,Kretzschau,57.47126436781609,0.0174,87
15084285,Laucha an der Unstrut,17.421602787456447,0.0574,287
15084355,Naumburg (Saale),454.54545454545456,0.0022,11
15084360,Nebra (Unstrut),333.3333333333333,0.003,15
15084550,Weißenfels,2500,4e-4,2
15084565,Wetterzeube,87.71929824561404,0.0114,57
15084590,Zeitz,16.501650165016503,0.0606,303
15085090,Ditfurt,37.59398496240601,0.0266,133
15085135,Halberstadt,3.37154416722859,0.2966,1483
15085160,Hedersleben,49.01960784313726,0.0204,102
15085185,Huy,6.934812760055478,0.1442,721
15085235,Quedlinburg,200,0.005,25
15085285,Schwanebeck,1.851851851851852,0.54,2700
15085287,Selke-Aue,43.85964912280702,0.0228,114
15085365,Wegeleben,2.3277467411545625,0.4296,2148
15086005,Biederitz,6.165228113440198,0.1622,811
15086015,Burg,14.245014245014245,0.0702,351
15086035,Elbe-Parey,5000,2e-4,1
15086055,Gommern,147.05882352941177,0.0068,34
15086080,Jerichow,8.143322475570033,0.1228,614
15086145,Möser,6.793478260869565,0.1472,736
15087015,Allstedt,10.940919037199125,0.0914,457
15087055,Berga,21.73913043478261,0.046,230
15087101,Brücken-Hackpfüffel,32.25806451612903,0.031,155
15087125,Edersleben,34.24657534246575,0.0292,146
15087165,Gerbstedt,625,0.0016,8
15087250,Kelbra (Kyffhäuser),24.271844660194176,0.0412,206
15087370,Sangerhausen,30.120481927710845,0.0332,166
15087412,Südharz,19.23076923076923,0.052,260
15087440,Wallhausen,31.84713375796178,0.0314,157
15088020,Bad Dürrenberg,200,0.005,25
15088205,Leuna,833.3333333333334,0.0012,6
15088216,Wettin-Löbejün,2500,4e-4,2
15088220,Merseburg,22.624434389140273,0.0442,221
15088295,Petersberg,1666.6666666666667,6e-4,3
15088319,Salzatal,263.1578947368421,0.0038,19
15088330,Schkopau,58.8235294117647,0.017,85
15088365,Teutschenthal,1250,8e-4,4
15089005,Alsleben (Saale),18.65671641791045,0.0536,268
15089026,Barby,64.93506493506493,0.0154,77
