AGS,municipality_name
12061005,Alt Zauche-Wußwerk/Stara Niwa-Wózwjerch
12061061,Byhleguhre-Byhlen/Beła Góra-Bělin
12061112,Eichwalde
12061192,Groß Köris
12061217,Heidesee
12061260,"Königs Wusterhausen, Stadt"
12061265,Krausnick-Groß Wasserburg
12061316,"Lübben (Spreewald) / Lubin (Błota), Stadt"
12061328,"Märkisch Buchholz, Stadt"
12061329,Märkische Heide/Markojska Góla
12061332,"Mittenwalde, Stadt"
12061344,Münchehofe
12061428,Schlepzig/Słopišća
12061450,Schwielochsee/Gójacki Jazor
12061476,Straupitz (Spreewald)/Tšupc (Błota)
12061510,Unterspreewald
12061540,"Wildau, Stadt"
12061572,Zeuthen
12062282,Kremitzaue
12062336,Merzdorf
12062341,"Mühlberg/Elbe, Stadt"
12062453,Schönborn
12063088,"Friesack, Stadt"
12063142,Wiesenaue
12063148,"Ketzin/Havel, Stadt"
12063165,Kotzen
12063189,Milower Land
12063202,Mühlenberge
12063208,"Nauen, Stadt"
12063228,Paulinenaue
12063293,Stechow-Ferchesar
12065036,Birkenwerder
12065084,"Fürstenberg/Havel, Stadt"
12065100,"Gransee, Stadt"
12065136,"Hennigsdorf, Stadt"
12065144,"Hohen Neuendorf, Stadt"
12065180,Leegebruch
12065193,"Liebenwalde, Stadt"
12065198,Löwenberger Land
12065256,"Oranienburg, Stadt"
12065332,"Velten, Stadt"
12065356,"Zehdenick, Stadt"
12066196,"Lübbenau/Spreewald / Lubnjow/Błota, Stadt"
12066320,"Vetschau/Spreewald / Wětošow/Błota, Stadt"
12067024,Bad Saarow
12067036,"Beeskow, Stadt"
12067040,Berkenbrück
12067072,Briesen (Mark)
12067124,"Erkner, Stadt"
12067137,"Friedland, Stadt"
12067144,"Fürstenwalde/Spree, Stadt"
12067173,Gosen-Neu Zittau
12067201,Grünheide (Mark)
12067288,Langewahl
12067397,Ragow-Merz
12067408,Rauen
12067426,Rietz-Neuendorf
12067469,Spreenhagen
12067473,Steinhöfel
12067481,"Storkow (Mark), Stadt"
12067493,Tauche
12068117,Fehrbellin
12068320,"Neuruppin, Stadt"
12068409,Sieversdorf-Hohenofen
12068425,Temnitzquell
12068426,Temnitztal
12068468,"Wittstock/Dosse, Stadt"
12068501,Zernitz-Lohm
12069017,"Beelitz, Stadt"
12069018,Beetzsee
12069019,Beetzseeheide
