AGS,municipality_name,pop_total,protection_available,protection_status,loss_portfolio_status,provider_interpretation,protection_return_period,annual_loss_probability,n_nonzero_years
12063260,Rhinow,1580,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,52.63157894736842,0.019,95
12063274,Seeblick,877,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,208.33333333333337,0.0048,24
12066064,Frauendorf,711,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,125,0.008,40
12066176,Lauchhammer,14264,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,40.32258064516129,0.0248,124
12066272,Ruhland,3734,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,46.2962962962963,0.0216,108
12066292,Schwarzbach,651,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,64.1025641025641,0.0156,78
12066296,Schwarzheide,5777,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,35.714285714285715,0.028,140
12066304,Senftenberg,23629,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,74.6268656716418,0.0134,67
12066316,Tettau,756,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,156.25,0.0064,32
12068052,Breddin,893,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1250,8e-4,4
12068109,Dreetz,1145,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,31.64556962025317,0.0316,158
12068264,Kyritz,9061,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,833.3333333333334,0.0012,6
12068324,Neustadt (Dosse),3441,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,294.11764705882354,0.0034,17
12068477,Wusterhausen/Dosse,5689,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,86.20689655172414,0.0116,58
12069537,Rosenau,856,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1666.6666666666667,6e-4,3
12070008,Bad Wilsnack,2538,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,20.080321285140563,0.0498,249
12070052,Breese,1524,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,51.02040816326531,0.0196,98
12070060,Cumlosen,726,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,38.75968992248062,0.0258,129
12070236,Lanz,695,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,14.124293785310735,0.0708,354
12070241,Legde/Quitzöbel,598,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,178.57142857142858,0.0056,28
12070244,Lenzen (Elbe),2021,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2.918855808523059,0.3426,1713
12070246,Lenzerwische,438,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,2.581311306143521,0.3874,1937
12070348,Rühstädt,478,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,10.869565217391305,0.092,460
12070424,Wittenberge,17076,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,35.2112676056338,0.0284,142
13076034,Dömitz,2906,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,3.115264797507788,0.321,1605
13076049,Gorlosen,449,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,55.55555555555556,0.018,90
13076103,Neu Kaliß,1885,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,20.49180327868853,0.0488,244
13076143,Vielank,1279,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,8,0.125,625
14521035,Aue-Bad Schlema,19059,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1666.6666666666667,6e-4,3
14521270,Grünhainichen,3106,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5000,2e-4,1
14522080,Döbeln,23718,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,52.63157894736842,0.019,95
14522140,Flöha,10259,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,250,0.004,20
14522150,Frankenberg/Sa.,13668,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,5000,2e-4,1
14522220,Großweitzschen,2604,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,79.36507936507937,0.0126,63
14522250,Hartha,6615,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,1666.6666666666667,6e-4,3
14522280,Königsfeld,1366,TRUE,Protection value available,in_damage_loss_portfolio,Municipality is included in the provider damage/loss portfolio and has an estimated protection return period.,294.11764705882354,0.0034,17
